entry,at,order
"The player ""bring it back @ ILQFEWJ0SW"" quits the game with a stack of 0.",2026-07-23T08:20:18.993Z,178479481899300
"-- ending hand #222 --",2026-07-23T08:20:10.893Z,178479481089302
"""wooooo @ MBFczOlpuA"" collected 1171 from pot with Two Pair, Q's & 3's on the second run  (combination: 10♣, 3♠, 3♦, Q♠, Q♥)",2026-07-23T08:20:10.893Z,178479481089301
"""wooooo @ MBFczOlpuA"" collected 1171 from pot with Pair, Q's (combination: 6♣, 9♠, 10♣, Q♠, Q♥)",2026-07-23T08:20:10.893Z,178479481089300
"River (second run): 3♠, Q♥, 9♠, 6♣ [3♦]",2026-07-23T08:20:06.887Z,178479480688700
"River: 3♠, Q♥, 9♠, 6♣ [4♠]",2026-07-23T08:20:02.854Z,178479480285400
"""bring it back @ ILQFEWJ0SW"" shows a J♣, 10♠.",2026-07-23T08:19:58.684Z,178479479868400
"""wooooo @ MBFczOlpuA"" shows a 10♣, Q♠.",2026-07-23T08:19:58.194Z,178479479819400
"All players in hand choose to run it twice.",2026-07-23T08:19:57.820Z,178479479782001
"""bring it back @ ILQFEWJ0SW"" chooses to  run it twice.",2026-07-23T08:19:57.820Z,178479479782000
"""wooooo @ MBFczOlpuA"" chooses to  run it twice.",2026-07-23T08:19:57.011Z,178479479701100
"Remaining players decide whether to run it twice.",2026-07-23T08:19:56.493Z,178479479649301
"""wooooo @ MBFczOlpuA"" calls 1051",2026-07-23T08:19:56.493Z,178479479649300
"""bring it back @ ILQFEWJ0SW"" bets 1051 and go all in",2026-07-23T08:19:45.684Z,178479478568400
"Turn: 3♠, Q♥, 9♠ [6♣]",2026-07-23T08:19:41.675Z,178479478167500
"""bring it back @ ILQFEWJ0SW"" calls 90",2026-07-23T08:19:40.798Z,178479478079800
"""wooooo @ MBFczOlpuA"" raises to 90",2026-07-23T08:19:38.103Z,178479477810300
"""bring it back @ ILQFEWJ0SW"" bets 30",2026-07-23T08:19:34.880Z,178479477488000
"Flop:  [3♠, Q♥, 9♠]",2026-07-23T08:19:31.781Z,178479477178100
"""bring it back @ ILQFEWJ0SW"" calls 30",2026-07-23T08:19:30.925Z,178479477092500
"""wooooo @ MBFczOlpuA"" raises to 30",2026-07-23T08:19:29.884Z,178479476988400
"""bring it back @ ILQFEWJ0SW"" posts a big blind of 10",2026-07-23T08:19:28.477Z,178479476847705
"""wooooo @ MBFczOlpuA"" posts a small blind of 5",2026-07-23T08:19:28.477Z,178479476847704
"Your hand is 10♣, Q♠",2026-07-23T08:19:28.477Z,178479476847703
"Player stacks: #2 ""bring it back @ ILQFEWJ0SW"" (1171) | #10 ""wooooo @ MBFczOlpuA"" (10454)",2026-07-23T08:19:28.477Z,178479476847701
"-- starting hand #222 (id: wtobpuacc9oi)  No Limit Texas Hold'em (dealer: ""wooooo @ MBFczOlpuA"") --",2026-07-23T08:19:28.477Z,178479476847700
"-- ending hand #221 --",2026-07-23T08:19:22.474Z,178479476247403
"""bring it back @ ILQFEWJ0SW"" collected 20 from pot with Pair, 5's (combination: 8♠, 9♥, K♣, 5♥, 5♠)",2026-07-23T08:19:22.474Z,178479476247402
"""bring it back @ ILQFEWJ0SW"" shows a 6♠, K♣.",2026-07-23T08:19:22.474Z,178479476247401
"""wooooo @ MBFczOlpuA"" shows a Q♥, 6♦.",2026-07-23T08:19:22.474Z,178479476247400
"""bring it back @ ILQFEWJ0SW"" checks",2026-07-23T08:19:21.626Z,178479476162600
"""wooooo @ MBFczOlpuA"" checks",2026-07-23T08:19:20.111Z,178479476011100
"River: 3♠, 9♥, 5♥, 5♠ [8♠]",2026-07-23T08:19:19.461Z,178479475946100
"""bring it back @ ILQFEWJ0SW"" checks",2026-07-23T08:19:18.651Z,178479475865100
"""wooooo @ MBFczOlpuA"" checks",2026-07-23T08:19:17.708Z,178479475770800
"Turn: 3♠, 9♥, 5♥ [5♠]",2026-07-23T08:19:16.774Z,178479475677400
"""bring it back @ ILQFEWJ0SW"" checks",2026-07-23T08:19:15.968Z,178479475596800
"""wooooo @ MBFczOlpuA"" checks",2026-07-23T08:19:09.400Z,178479474940000
"Flop:  [3♠, 9♥, 5♥]",2026-07-23T08:19:07.829Z,178479474782900
"""wooooo @ MBFczOlpuA"" checks",2026-07-23T08:19:06.997Z,178479474699700
"""bring it back @ ILQFEWJ0SW"" calls 10",2026-07-23T08:19:03.948Z,178479474394800
"""wooooo @ MBFczOlpuA"" posts a big blind of 10",2026-07-23T08:19:02.622Z,178479474262205
"""bring it back @ ILQFEWJ0SW"" posts a small blind of 5",2026-07-23T08:19:02.622Z,178479474262204
"Your hand is Q♥, 6♦",2026-07-23T08:19:02.622Z,178479474262203
"Player stacks: #2 ""bring it back @ ILQFEWJ0SW"" (1161) | #10 ""wooooo @ MBFczOlpuA"" (10464)",2026-07-23T08:19:02.622Z,178479474262201
"-- starting hand #221 (id: gkt32bndniu4)  No Limit Texas Hold'em (dealer: ""bring it back @ ILQFEWJ0SW"") --",2026-07-23T08:19:02.622Z,178479474262200
"Undealt cards: J♦, 6♠, 10♣, 4♥ [4♦]",2026-07-23T08:18:56.866Z,178479473686600
"-- ending hand #220 --",2026-07-23T08:18:56.688Z,178479473668802
"""wooooo @ MBFczOlpuA"" collected 100 from pot",2026-07-23T08:18:56.688Z,178479473668801
"Uncalled bet of 50 returned to ""wooooo @ MBFczOlpuA""",2026-07-23T08:18:56.688Z,178479473668800
"""bring it back @ ILQFEWJ0SW"" folds",2026-07-23T08:18:55.822Z,178479473582200
"""wooooo @ MBFczOlpuA"" bets 50",2026-07-23T08:18:51.802Z,178479473180200
"""bring it back @ ILQFEWJ0SW"" checks",2026-07-23T08:18:49.653Z,178479472965300
"Turn: J♦, 6♠, 10♣ [4♥]",2026-07-23T08:18:47.782Z,178479472778200
"""bring it back @ ILQFEWJ0SW"" calls 20",2026-07-23T08:18:46.978Z,178479472697800
"""wooooo @ MBFczOlpuA"" bets 20",2026-07-23T08:18:46.033Z,178479472603300
"""bring it back @ ILQFEWJ0SW"" checks",2026-07-23T08:18:44.504Z,178479472450400
"Flop:  [J♦, 6♠, 10♣]",2026-07-23T08:18:43.563Z,178479472356300
"""bring it back @ ILQFEWJ0SW"" calls 30",2026-07-23T08:18:42.710Z,178479472271000
"""wooooo @ MBFczOlpuA"" raises to 30",2026-07-23T08:18:41.710Z,178479472171000
"""bring it back @ ILQFEWJ0SW"" posts a big blind of 10",2026-07-23T08:18:40.085Z,178479472008505
"""wooooo @ MBFczOlpuA"" posts a small blind of 5",2026-07-23T08:18:40.085Z,178479472008504
"Player stacks: #2 ""bring it back @ ILQFEWJ0SW"" (1211) | #10 ""wooooo @ MBFczOlpuA"" (10414)",2026-07-23T08:18:40.085Z,178479472008501
"-- starting hand #220 (id: 6dzoamcoyce3)  No Limit Texas Hold'em (dealer: ""wooooo @ MBFczOlpuA"") --",2026-07-23T08:18:40.085Z,178479472008500
"Undealt cards: 2♥, K♣, 9♠ [J♠, 9♥]",2026-07-23T08:18:34.449Z,178479471444900
"-- ending hand #219 --",2026-07-23T08:18:34.176Z,178479471417602
"""bring it back @ ILQFEWJ0SW"" collected 60 from pot",2026-07-23T08:18:34.176Z,178479471417601
"Uncalled bet of 30 returned to ""bring it back @ ILQFEWJ0SW""",2026-07-23T08:18:34.176Z,178479471417600
"""wooooo @ MBFczOlpuA"" folds",2026-07-23T08:18:33.362Z,178479471336200
"""bring it back @ ILQFEWJ0SW"" bets 30",2026-07-23T08:18:32.438Z,178479471243800
"""wooooo @ MBFczOlpuA"" checks",2026-07-23T08:18:30.554Z,178479471055400
"Flop:  [2♥, K♣, 9♠]",2026-07-23T08:18:29.368Z,178479470936800
"""wooooo @ MBFczOlpuA"" calls 30",2026-07-23T08:18:28.554Z,178479470855400
"""bring it back @ ILQFEWJ0SW"" raises to 30",2026-07-23T08:18:27.620Z,178479470762000
"""wooooo @ MBFczOlpuA"" posts a big blind of 10",2026-07-23T08:18:25.700Z,178479470570005
