entry,at,order
"""fish @ oMsP5L3lJa"" checks",2026-09-02T08:01:36.668Z,178833609666801
"River: A♣, 6♥, 6♦, 10♦ [J♠]",2026-09-02T08:01:36.668Z,178833609666800
"""LingWae @ FQN9hzhzP_"" checks",2026-09-02T08:01:35.840Z,178833609584000
"""fish @ oMsP5L3lJa"" checks",2026-09-02T08:01:34.092Z,178833609409201
"Turn: A♣, 6♥, 6♦ [10♦]",2026-09-02T08:01:34.092Z,178833609409200
"""LingWae @ FQN9hzhzP_"" checks",2026-09-02T08:01:33.283Z,178833609328300
"""fish @ oMsP5L3lJa"" checks",2026-09-02T08:01:29.256Z,178833608925600
"Flop:  [A♣, 6♥, 6♦]",2026-09-02T08:01:25.485Z,178833608548500
"""fish @ oMsP5L3lJa"" checks",2026-09-02T08:01:24.683Z,178833608468300
"""LingWae @ FQN9hzhzP_"" calls 10",2026-09-02T08:01:23.698Z,178833608369800
"""fish @ oMsP5L3lJa"" posts a big blind of 10",2026-09-02T08:01:02.465Z,178833606246506
"""LingWae @ FQN9hzhzP_"" posts a small blind of 5",2026-09-02T08:01:02.465Z,178833606246505
"Player stacks: #2 ""LingWae @ FQN9hzhzP_"" (3099) | #5 ""fish @ oMsP5L3lJa"" (4389)",2026-09-02T08:01:02.465Z,178833606246502
"-- starting hand #261 (id: xg3kudgvjmli)  No Limit Texas Hold'em (dealer: ""LingWae @ FQN9hzhzP_"") --",2026-09-02T08:01:02.465Z,178833606246501
"The player ""bick and dalls @ gpP9uUffpu"" quits the game with a stack of 0.",2026-09-02T08:01:02.465Z,178833606246500
"-- ending hand #260 --",2026-09-02T08:00:56.360Z,178833605636003
"""LingWae @ FQN9hzhzP_"" collected 2196 from pot with Three of a Kind, 8's (combination: Q♠, K♣, 8♥, 8♠, 8♣)",2026-09-02T08:00:56.360Z,178833605636002
"""LingWae @ FQN9hzhzP_"" shows a Q♠, 8♥.",2026-09-02T08:00:56.360Z,178833605636001
"""bick and dalls @ gpP9uUffpu"" shows a 5♦, J♣.",2026-09-02T08:00:56.360Z,178833605636000
"""fish @ oMsP5L3lJa"" calls 652",2026-09-02T08:00:55.463Z,178833605546300
"""LingWae @ FQN9hzhzP_"" calls 652",2026-09-02T08:00:47.805Z,178833604780500
"""bick and dalls @ gpP9uUffpu"" bets 652 and go all in",2026-09-02T08:00:46.739Z,178833604673900
"River: K♣, 5♠, 8♠, 8♣ [7♦]",2026-09-02T08:00:44.623Z,178833604462300
"""fish @ oMsP5L3lJa"" calls 60",2026-09-02T08:00:43.811Z,178833604381100
"""LingWae @ FQN9hzhzP_"" calls 60",2026-09-02T08:00:42.684Z,178833604268400
"""bick and dalls @ gpP9uUffpu"" bets 60",2026-09-02T08:00:41.263Z,178833604126300
"Turn: K♣, 5♠, 8♠ [8♣]",2026-09-02T08:00:39.550Z,178833603955000
"""fish @ oMsP5L3lJa"" calls 10",2026-09-02T08:00:38.662Z,178833603866200
"""LingWae @ FQN9hzhzP_"" calls 10",2026-09-02T08:00:37.708Z,178833603770800
