entry,at,order
"-- ending hand #310 --",2026-09-12T03:00:32.651Z,178918203265103
"""9/2 @ d-4X_F_SSU"" collected 128 from pot with Pair, 9's (combination: 5♣, 8♦, K♥, 9♠, 9♦)",2026-09-12T03:00:32.651Z,178918203265102
"""9/2 @ d-4X_F_SSU"" shows a 9♠, 5♣.",2026-09-12T03:00:32.651Z,178918203265101
"""gurt @ gpP9uUffpu"" shows a 5♥, Q♣.",2026-09-12T03:00:32.651Z,178918203265100
"""9/2 @ d-4X_F_SSU"" calls 44",2026-09-12T03:00:31.791Z,178918203179100
"""gurt @ gpP9uUffpu"" raises to 44",2026-09-12T03:00:30.927Z,178918203092700
"""9/2 @ d-4X_F_SSU"" bets 10",2026-09-12T03:00:29.213Z,178918202921300
"River: 3♠, K♥, 9♦, 2♠ [8♦]",2026-09-12T03:00:28.947Z,178918202894700
"""gurt @ gpP9uUffpu"" calls 10",2026-09-12T03:00:28.140Z,178918202814000
"""9/2 @ d-4X_F_SSU"" bets 10",2026-09-12T03:00:27.189Z,178918202718900
"Turn: 3♠, K♥, 9♦ [2♠]",2026-09-12T03:00:26.945Z,178918202694500
"""gurt @ gpP9uUffpu"" checks",2026-09-12T03:00:26.098Z,178918202609800
"The admin ""gurt @ gpP9uUffpu"" enqueued the game stop on next hand.",2026-09-12T03:00:25.742Z,178918202574200
"""9/2 @ d-4X_F_SSU"" checks",2026-09-12T03:00:24.431Z,178918202443100
"Flop:  [3♠, K♥, 9♦]",2026-09-12T03:00:23.582Z,178918202358200
"""9/2 @ d-4X_F_SSU"" checks",2026-09-12T03:00:22.747Z,178918202274700
"""gurt @ gpP9uUffpu"" calls 10",2026-09-12T03:00:08.056Z,178918200805600
"""9/2 @ d-4X_F_SSU"" posts a big blind of 10",2026-09-12T03:00:06.507Z,178918200650705
"""gurt @ gpP9uUffpu"" posts a small blind of 5",2026-09-12T03:00:06.507Z,178918200650704
"Your hand is 5♥, Q♣",2026-09-12T03:00:06.507Z,178918200650702
"Player stacks: #8 ""gurt @ gpP9uUffpu"" (5336) | #10 ""9/2 @ d-4X_F_SSU"" (2304)",2026-09-12T03:00:06.507Z,178918200650701
"-- starting hand #310 (id: u39pnrvj1ciz)  No Limit Texas Hold'em (dealer: ""gurt @ gpP9uUffpu"") --",2026-09-12T03:00:06.507Z,178918200650700
"Undealt cards:  [6♣, 10♦, K♣, 3♠, Q♣]",2026-09-12T03:00:02.234Z,178918200223400
"-- ending hand #309 --",2026-09-12T03:00:00.515Z,178918200051502
"""gurt @ gpP9uUffpu"" collected 10 from pot",2026-09-12T03:00:00.515Z,178918200051501
"Uncalled bet of 5 returned to ""gurt @ gpP9uUffpu""",2026-09-12T03:00:00.515Z,178918200051500
"""9/2 @ d-4X_F_SSU"" folds",2026-09-12T02:59:59.671Z,178918199967100
"""gurt @ gpP9uUffpu"" posts a big blind of 10",2026-09-12T02:59:58.770Z,178918199877006
"""9/2 @ d-4X_F_SSU"" posts a small blind of 5",2026-09-12T02:59:58.770Z,178918199877005
"Player stacks: #8 ""gurt @ gpP9uUffpu"" (5331) | #10 ""9/2 @ d-4X_F_SSU"" (2309)",2026-09-12T02:59:58.770Z,178918199877002
"-- starting hand #309 (id: g9zpcknvwgjp)  No Limit Texas Hold'em (dealer: ""9/2 @ d-4X_F_SSU"") --",2026-09-12T02:59:58.770Z,178918199877001
"The player ""LingWae @ FQN9hzhzP_"" quits the game with a stack of 0.",2026-09-12T02:59:58.770Z,178918199877000
"-- ending hand #308 --",2026-09-12T02:59:52.767Z,178918199276705
"""gurt @ gpP9uUffpu"" collected 220 from pot with Three of a Kind, J's (combination: 10♦, K♣, J♦, J♠, J♣)",2026-09-12T02:59:52.767Z,178918199276704
"""gurt @ gpP9uUffpu"" collected 285 from pot with Three of a Kind, J's (combination: 10♦, K♣, J♦, J♠, J♣)",2026-09-12T02:59:52.767Z,178918199276703
"""gurt @ gpP9uUffpu"" shows a J♦, J♠.",2026-09-12T02:59:52.767Z,178918199276702
"""LingWae @ FQN9hzhzP_"" shows a K♥, A♥.",2026-09-12T02:59:52.767Z,178918199276701
"""9/2 @ d-4X_F_SSU"" shows a 2♠, A♦.",2026-09-12T02:59:52.767Z,178918199276700
"""gurt @ gpP9uUffpu"" checks",2026-09-12T02:59:51.921Z,178918199192100
"""9/2 @ d-4X_F_SSU"" checks",2026-09-12T02:59:50.992Z,178918199099200
"River: 10♦, 4♣, 3♣, K♣ [J♣]",2026-09-12T02:59:49.900Z,178918198990000
"""9/2 @ d-4X_F_SSU"" calls 55",2026-09-12T02:59:49.087Z,178918198908700
"""gurt @ gpP9uUffpu"" bets 55",2026-09-12T02:59:46.148Z,178918198614800
"""9/2 @ d-4X_F_SSU"" checks",2026-09-12T02:59:44.748Z,178918198474800
"Turn: 10♦, 4♣, 3♣ [K♣]",2026-09-12T02:59:43.958Z,178918198395800
"""9/2 @ d-4X_F_SSU"" calls 55",2026-09-12T02:59:43.144Z,178918198314400
"""gurt @ gpP9uUffpu"" bets 55",2026-09-12T02:59:42.050Z,178918198205000
"""9/2 @ d-4X_F_SSU"" checks",2026-09-12T02:59:40.324Z,178918198032400
"Flop:  [10♦, 4♣, 3♣]",2026-09-12T02:59:39.808Z,178918197980800
"""9/2 @ d-4X_F_SSU"" calls 95",2026-09-12T02:59:38.994Z,178918197899400
"""gurt @ gpP9uUffpu"" calls 95",2026-09-12T02:59:37.015Z,178918197701500
"""LingWae @ FQN9hzhzP_"" raises to 95 and go all in",2026-09-12T02:59:35.368Z,178918197536800
"""9/2 @ d-4X_F_SSU"" calls 55",2026-09-12T02:59:33.655Z,178918197365500
"""gurt @ gpP9uUffpu"" raises to 55",2026-09-12T02:59:32.103Z,178918197210300
"""LingWae @ FQN9hzhzP_"" posts a big blind of 10",2026-09-12T02:59:30.204Z,178918197020406
"""9/2 @ d-4X_F_SSU"" posts a small blind of 5",2026-09-12T02:59:30.204Z,178918197020405
"Your hand is J♦, J♠",2026-09-12T02:59:30.204Z,178918197020403
"Player stacks: #1 ""LingWae @ FQN9hzhzP_"" (95) | #8 ""gurt @ gpP9uUffpu"" (5031) | #10 ""9/2 @ d-4X_F_SSU"" (2514)",2026-09-12T02:59:30.204Z,178918197020401
"-- starting hand #308 (id: 3u1sjcaykpia)  No Limit Texas Hold'em (dealer: ""gurt @ gpP9uUffpu"") --",2026-09-12T02:59:30.204Z,178918197020400
"Undealt cards:  [5♥, 6♦, 3♠, 2♣, 9♠]",2026-09-12T02:59:25.742Z,178918196574200
"-- ending hand #307 --",2026-09-12T02:59:24.268Z,178918196426802
"""gurt @ gpP9uUffpu"" collected 20 from pot",2026-09-12T02:59:24.268Z,178918196426801
"Uncalled bet of 45 returned to ""gurt @ gpP9uUffpu""",2026-09-12T02:59:24.268Z,178918196426800
"""9/2 @ d-4X_F_SSU"" folds",2026-09-12T02:59:23.444Z,178918196344400
"""gurt @ gpP9uUffpu"" raises to 55",2026-09-12T02:59:15.016Z,178918195501600
"""LingWae @ FQN9hzhzP_"" folds",2026-09-12T02:59:13.068Z,178918195306800
"""9/2 @ d-4X_F_SSU"" posts a big blind of 10",2026-09-12T02:59:11.918Z,178918195191806
"""gurt @ gpP9uUffpu"" posts a small blind of 5",2026-09-12T02:59:11.918Z,178918195191805
"Player stacks: #1 ""LingWae @ FQN9hzhzP_"" (95) | #8 ""gurt @ gpP9uUffpu"" (5021) | #10 ""9/2 @ d-4X_F_SSU"" (2524)",2026-09-12T02:59:11.918Z,178918195191801
"-- starting hand #307 (id: srvrtk1udiup)  No Limit Texas Hold'em (dealer: ""LingWae @ FQN9hzhzP_"") --",2026-09-12T02:59:11.918Z,178918195191800
"Undealt cards:  [10♠, 2♥, Q♦, 8♥, 3♥]",2026-09-12T02:59:07.171Z,178918194717100
"-- ending hand #306 --",2026-09-12T02:59:05.964Z,178918194596402
"""gurt @ gpP9uUffpu"" collected 10 from pot",2026-09-12T02:59:05.964Z,178918194596401
"Uncalled bet of 5 returned to ""gurt @ gpP9uUffpu""",2026-09-12T02:59:05.964Z,178918194596400
"""LingWae @ FQN9hzhzP_"" folds",2026-09-12T02:59:05.142Z,178918194514200
"""9/2 @ d-4X_F_SSU"" folds",2026-09-12T02:59:02.575Z,178918194257500
"""gurt @ gpP9uUffpu"" posts a big blind of 10",2026-09-12T02:59:01.303Z,178918194130307
"""LingWae @ FQN9hzhzP_"" posts a small blind of 5",2026-09-12T02:59:01.303Z,178918194130306
"Player stacks: #1 ""LingWae @ FQN9hzhzP_"" (100) | #8 ""gurt @ gpP9uUffpu"" (5016) | #10 ""9/2 @ d-4X_F_SSU"" (2524)",2026-09-12T02:59:01.303Z,178918194130302
"-- starting hand #306 (id: phrihkdtfex1)  No Limit Texas Hold'em (dealer: ""9/2 @ d-4X_F_SSU"") --",2026-09-12T02:59:01.303Z,178918194130301
"The player ""LingWae @ FQN9hzhzP_"" joined the game with a stack of 100.",2026-09-12T02:59:01.303Z,178918194130300
"""9/2 @ d-4X_F_SSU"" shows a 2♥.",2026-09-12T02:58:56.707Z,178918193670700
"Undealt cards: J♣, 6♣, 2♦ [2♠, 8♦]",2026-09-12T02:58:55.000Z,178918193500000
"-- ending hand #305 --",2026-09-12T02:58:54.683Z,178918193468302
"""gurt @ gpP9uUffpu"" collected 110 from pot",2026-09-12T02:58:54.683Z,178918193468301
"Uncalled bet of 55 returned to ""gurt @ gpP9uUffpu""",2026-09-12T02:58:54.683Z,178918193468300
"""9/2 @ d-4X_F_SSU"" folds",2026-09-12T02:58:53.816Z,178918193381600
"""gurt @ gpP9uUffpu"" bets 55",2026-09-12T02:58:41.372Z,178918192137200
"The admin approved the player ""LingWae @ FQN9hzhzP_"" participation with a stack of 100.",2026-09-12T02:58:38.669Z,178918191866900
"""9/2 @ d-4X_F_SSU"" checks",2026-09-12T02:58:37.754Z,178918191775400
"Flop:  [J♣, 6♣, 2♦]",2026-09-12T02:58:36.360Z,178918191636000
"""9/2 @ d-4X_F_SSU"" calls 55",2026-09-12T02:58:35.542Z,178918191554200
"The player ""LingWae @ FQN9hzhzP_"" requested a seat.",2026-09-12T02:58:35.161Z,178918191516100
"""gurt @ gpP9uUffpu"" raises to 55",2026-09-12T02:58:34.673Z,178918191467300
"""9/2 @ d-4X_F_SSU"" posts a big blind of 10",2026-09-12T02:58:32.561Z,178918191256106
"""gurt @ gpP9uUffpu"" posts a small blind of 5",2026-09-12T02:58:32.561Z,178918191256105
"Player stacks: #8 ""gurt @ gpP9uUffpu"" (4961) | #10 ""9/2 @ d-4X_F_SSU"" (2579)",2026-09-12T02:58:32.561Z,178918191256102
"-- starting hand #305 (id: xqmj4bkouak9)  No Limit Texas Hold'em (dealer: ""gurt @ gpP9uUffpu"") --",2026-09-12T02:58:32.561Z,178918191256101
"The player ""LingWae @ FQN9hzhzP_"" quits the game with a stack of 0.",2026-09-12T02:58:32.561Z,178918191256100
"-- ending hand #304 --",2026-09-12T02:58:24.551Z,178918190455102
"""gurt @ gpP9uUffpu"" collected 90 from pot with Two Pair, K's & 9's on the second run  (combination: 7♥, 9♦, 9♠, K♣, K♥)",2026-09-12T02:58:24.551Z,178918190455101
"""gurt @ gpP9uUffpu"" collected 90 from pot with Pair, K's (combination: 9♦, 10♦, A♠, K♣, K♠)",2026-09-12T02:58:24.551Z,178918190455100
"River (second run): K♥, 9♠, 5♥, 7♥ [2♦]",2026-09-12T02:58:20.514Z,178918190051400
"Turn (second run): K♥, 9♠, 5♥ [7♥]",2026-09-12T02:58:16.511Z,178918189651100
"Flop (second run):  [K♥, 9♠, 5♥]",2026-09-12T02:58:12.493Z,178918189249300
"River: K♠, 6♣, 7♣, A♠ [10♦]",2026-09-12T02:58:08.460Z,178918188846000
"Turn: K♠, 6♣, 7♣ [A♠]",2026-09-12T02:58:04.450Z,178918188445000
"Flop:  [K♠, 6♣, 7♣]",2026-09-12T02:58:00.367Z,178918188036700
"""LingWae @ FQN9hzhzP_"" shows a 8♦, 7♦.",2026-09-12T02:57:56.360Z,178918187636000
"""gurt @ gpP9uUffpu"" shows a 9♦, K♣.",2026-09-12T02:57:55.988Z,178918187598800
"All players in hand choose to run it twice.",2026-09-12T02:57:55.487Z,178918187548701
"""LingWae @ FQN9hzhzP_"" chooses to  run it twice.",2026-09-12T02:57:55.487Z,178918187548700
"""gurt @ gpP9uUffpu"" chooses to  run it twice.",2026-09-12T02:57:55.319Z,178918187531900
"Remaining players decide whether to run it twice.",2026-09-12T02:57:54.597Z,178918187459701
"""gurt @ gpP9uUffpu"" calls 90",2026-09-12T02:57:54.597Z,178918187459700
"""LingWae @ FQN9hzhzP_"" raises to 90 and go all in",2026-09-12T02:57:53.351Z,178918187335100
"""9/2 @ d-4X_F_SSU"" folds",2026-09-12T02:57:49.276Z,178918186927600
"""gurt @ gpP9uUffpu"" posts a big blind of 10",2026-09-12T02:57:47.953Z,178918186795306
"""LingWae @ FQN9hzhzP_"" posts a small blind of 5",2026-09-12T02:57:47.953Z,178918186795305
"Your hand is 9♦, K♣",2026-09-12T02:57:47.953Z,178918186795303
"Player stacks: #1 ""LingWae @ FQN9hzhzP_"" (90) | #8 ""gurt @ gpP9uUffpu"" (4871) | #10 ""9/2 @ d-4X_F_SSU"" (2579)",2026-09-12T02:57:47.953Z,178918186795301
"-- starting hand #304 (id: 6qps4gcnzqru)  No Limit Texas Hold'em (dealer: ""9/2 @ d-4X_F_SSU"") --",2026-09-12T02:57:47.953Z,178918186795300
"""9/2 @ d-4X_F_SSU"" shows a 10♦, 7♦.",2026-09-12T02:57:41.687Z,178918186168700
"-- ending hand #303 --",2026-09-12T02:57:39.445Z,178918185944502
"""gurt @ gpP9uUffpu"" collected 90 from pot with Pair, 2's on the second run  (combination: 9♦, 10♥, J♠, 2♠, 2♥)",2026-09-12T02:57:39.445Z,178918185944501
"""LingWae @ FQN9hzhzP_"" collected 90 from pot with Pair, 5's (combination: 8♥, Q♠, A♥, 5♠, 5♦)",2026-09-12T02:57:39.445Z,178918185944500
"River (second run): 9♦, 2♥, J♠, 10♥ [7♣]",2026-09-12T02:57:35.441Z,178918185544100
"Turn (second run): 9♦, 2♥, J♠ [10♥]",2026-09-12T02:57:31.371Z,178918185137100
"Flop (second run):  [9♦, 2♥, J♠]",2026-09-12T02:57:27.321Z,178918184732100
"River: 5♠, 7♠, 4♠, 8♥ [5♦]",2026-09-12T02:57:23.265Z,178918184326500
"Turn: 5♠, 7♠, 4♠ [8♥]",2026-09-12T02:57:19.207Z,178918183920700
"Flop:  [5♠, 7♠, 4♠]",2026-09-12T02:57:15.162Z,178918183516200
"""LingWae @ FQN9hzhzP_"" shows a A♥, Q♠.",2026-09-12T02:57:11.111Z,178918183111100
"""gurt @ gpP9uUffpu"" shows a 3♥, 2♠.",2026-09-12T02:57:10.728Z,178918183072800
"All players in hand choose to run it twice.",2026-09-12T02:57:10.273Z,178918183027301
"""gurt @ gpP9uUffpu"" chooses to  run it twice.",2026-09-12T02:57:10.273Z,178918183027300
"""LingWae @ FQN9hzhzP_"" chooses to  run it twice.",2026-09-12T02:57:10.213Z,178918183021300
"Remaining players decide whether to run it twice.",2026-09-12T02:57:09.318Z,178918182931801
"""9/2 @ d-4X_F_SSU"" folds",2026-09-12T02:57:09.318Z,178918182931800
"""gurt @ gpP9uUffpu"" calls 85",2026-09-12T02:57:00.601Z,178918182060100
"""LingWae @ FQN9hzhzP_"" raises to 85 and go all in",2026-09-12T02:56:59.233Z,178918181923300
"""9/2 @ d-4X_F_SSU"" calls 10",2026-09-12T02:56:57.539Z,178918181753900
"""gurt @ gpP9uUffpu"" calls 10",2026-09-12T02:56:55.876Z,178918181587600
"""LingWae @ FQN9hzhzP_"" posts a big blind of 10",2026-09-12T02:56:54.380Z,178918181438006
"""9/2 @ d-4X_F_SSU"" posts a small blind of 5",2026-09-12T02:56:54.380Z,178918181438005
"Your hand is 3♥, 2♠",2026-09-12T02:56:54.380Z,178918181438003
"Player stacks: #1 ""LingWae @ FQN9hzhzP_"" (85) | #8 ""gurt @ gpP9uUffpu"" (4866) | #10 ""9/2 @ d-4X_F_SSU"" (2589)",2026-09-12T02:56:54.380Z,178918181438001
"-- starting hand #303 (id: k7urt9zzhveh)  No Limit Texas Hold'em (dealer: ""gurt @ gpP9uUffpu"") --",2026-09-12T02:56:54.380Z,178918181438000
"Undealt cards:  [7♣, J♥, A♥, Q♥, 5♣]",2026-09-12T02:56:48.840Z,178918180884000
"-- ending hand #302 --",2026-09-12T02:56:48.431Z,178918180843102
"""LingWae @ FQN9hzhzP_"" collected 25 from pot",2026-09-12T02:56:48.431Z,178918180843101
"Uncalled bet of 60 returned to ""LingWae @ FQN9hzhzP_""",2026-09-12T02:56:48.431Z,178918180843100
"""9/2 @ d-4X_F_SSU"" folds",2026-09-12T02:56:47.618Z,178918180761800
"""gurt @ gpP9uUffpu"" folds",2026-09-12T02:56:46.734Z,178918180673400
"""LingWae @ FQN9hzhzP_"" raises to 70 and go all in",2026-09-12T02:56:44.589Z,178918180458900
"""9/2 @ d-4X_F_SSU"" posts a big blind of 10",2026-09-12T02:56:40.972Z,178918180097206
"""gurt @ gpP9uUffpu"" posts a small blind of 5",2026-09-12T02:56:40.972Z,178918180097205
"Player stacks: #1 ""LingWae @ FQN9hzhzP_"" (70) | #8 ""gurt @ gpP9uUffpu"" (4871) | #10 ""9/2 @ d-4X_F_SSU"" (2599)",2026-09-12T02:56:40.972Z,178918180097201
"-- starting hand #302 (id: d5n4mft8sbl3)  No Limit Texas Hold'em (dealer: ""LingWae @ FQN9hzhzP_"") --",2026-09-12T02:56:40.972Z,178918180097200
"""gurt @ gpP9uUffpu"" shows a 6♣, 6♠.",2026-09-12T02:56:37.144Z,178918179714400
"Undealt cards: 6♥, 5♥, 10♠ [A♦, 6♦]",2026-09-12T02:56:34.980Z,178918179498000
"-- ending hand #301 --",2026-09-12T02:56:34.364Z,178918179436402
"""gurt @ gpP9uUffpu"" collected 115 from pot",2026-09-12T02:56:34.364Z,178918179436401
"Uncalled bet of 90 returned to ""gurt @ gpP9uUffpu""",2026-09-12T02:56:34.364Z,178918179436400
"""9/2 @ d-4X_F_SSU"" folds",2026-09-12T02:56:33.439Z,178918179343900
"""gurt @ gpP9uUffpu"" bets 90",2026-09-12T02:56:32.541Z,178918179254100
"Flop:  [6♥, 5♥, 10♠]",2026-09-12T02:56:28.238Z,178918178823800
"""9/2 @ d-4X_F_SSU"" calls 55",2026-09-12T02:56:27.414Z,178918178741400
"""gurt @ gpP9uUffpu"" raises to 55",2026-09-12T02:56:26.503Z,178918178650300
"""LingWae @ FQN9hzhzP_"" folds",2026-09-12T02:56:24.627Z,178918178462700
"""9/2 @ d-4X_F_SSU"" calls 10",2026-09-12T02:56:23.570Z,178918178357000
"""gurt @ gpP9uUffpu"" posts a big blind of 10",2026-09-12T02:56:17.353Z,178918177735307
"""LingWae @ FQN9hzhzP_"" posts a small blind of 5",2026-09-12T02:56:17.353Z,178918177735306
"Your hand is 6♣, 6♠",2026-09-12T02:56:17.353Z,178918177735304
"Player stacks: #1 ""LingWae @ FQN9hzhzP_"" (75) | #8 ""gurt @ gpP9uUffpu"" (4811) | #10 ""9/2 @ d-4X_F_SSU"" (2654)",2026-09-12T02:56:17.353Z,178918177735302
"-- starting hand #301 (id: bwxo2uv3qe3j)  No Limit Texas Hold'em (dealer: ""9/2 @ d-4X_F_SSU"") --",2026-09-12T02:56:17.353Z,178918177735301
"The player ""LingWae @ FQN9hzhzP_"" joined the game with a stack of 75.",2026-09-12T02:56:17.353Z,178918177735300
"The admin approved the player ""LingWae @ FQN9hzhzP_"" participation with a stack of 75.",2026-09-12T02:56:14.215Z,178918177421500
"The player ""LingWae @ FQN9hzhzP_"" requested a seat.",2026-09-12T02:56:12.058Z,178918177205800
"-- ending hand #300 --",2026-09-12T02:56:11.432Z,178918177143202
"""9/2 @ d-4X_F_SSU"" collected 10 from pot",2026-09-12T02:56:11.432Z,178918177143201
"Uncalled bet of 5 returned to ""9/2 @ d-4X_F_SSU""",2026-09-12T02:56:11.432Z,178918177143200
"""gurt @ gpP9uUffpu"" folds",2026-09-12T02:56:10.593Z,178918177059300
"""9/2 @ d-4X_F_SSU"" posts a big blind of 10",2026-09-12T02:56:08.929Z,178918176892906
"""gurt @ gpP9uUffpu"" posts a small blind of 5",2026-09-12T02:56:08.929Z,178918176892905
"Player stacks: #8 ""gurt @ gpP9uUffpu"" (4816) | #10 ""9/2 @ d-4X_F_SSU"" (2649)",2026-09-12T02:56:08.929Z,178918176892902
"-- starting hand #300 (id: vckyed3nknyn)  No Limit Texas Hold'em (dealer: ""gurt @ gpP9uUffpu"") --",2026-09-12T02:56:08.929Z,178918176892901
"The player ""LingWae @ FQN9hzhzP_"" quits the game with a stack of 0.",2026-09-12T02:56:08.929Z,178918176892900
"-- ending hand #299 --",2026-09-12T02:56:00.824Z,178918176082402
"""gurt @ gpP9uUffpu"" collected 260 from pot with Two Pair, K's & 6's on the second run  (combination: Q♠, 6♦, 6♥, K♥, K♣)",2026-09-12T02:56:00.824Z,178918176082401
"""gurt @ gpP9uUffpu"" collected 260 from pot with Two Pair, K's & 6's (combination: A♥, 6♦, 6♥, K♥, K♣)",2026-09-12T02:56:00.824Z,178918176082400
"River (second run): Q♠, 6♥, K♣, 9♣ [7♦]",2026-09-12T02:55:56.811Z,178918175681100
"Turn (second run): Q♠, 6♥, K♣ [9♣]",2026-09-12T02:55:52.808Z,178918175280800
"River: Q♠, 6♥, K♣, 2♣ [A♥]",2026-09-12T02:55:48.806Z,178918174880600
"Turn: Q♠, 6♥, K♣ [2♣]",2026-09-12T02:55:44.795Z,178918174479500
"""LingWae @ FQN9hzhzP_"" shows a Q♣, J♣.",2026-09-12T02:55:40.737Z,178918174073700
"""gurt @ gpP9uUffpu"" shows a K♥, 6♦.",2026-09-12T02:55:40.338Z,178918174033800
"All players in hand choose to run it twice.",2026-09-12T02:55:39.839Z,178918173983901
"""LingWae @ FQN9hzhzP_"" chooses to  run it twice.",2026-09-12T02:55:39.839Z,178918173983900
"""gurt @ gpP9uUffpu"" chooses to  run it twice.",2026-09-12T02:55:39.631Z,178918173963100
"Remaining players decide whether to run it twice.",2026-09-12T02:55:39.012Z,178918173901201
"""gurt @ gpP9uUffpu"" calls 245",2026-09-12T02:55:39.012Z,178918173901200
"""LingWae @ FQN9hzhzP_"" raises to 245 and go all in",2026-09-12T02:55:37.414Z,178918173741400
"""9/2 @ d-4X_F_SSU"" folds",2026-09-12T02:55:35.480Z,178918173548000
"""gurt @ gpP9uUffpu"" bets 33",2026-09-12T02:55:27.806Z,178918172780600
"Flop:  [Q♠, 6♥, K♣]",2026-09-12T02:55:24.907Z,178918172490700
"""9/2 @ d-4X_F_SSU"" checks",2026-09-12T02:55:24.035Z,178918172403500
"""gurt @ gpP9uUffpu"" calls 10",2026-09-12T02:55:22.142Z,178918172214200
"""LingWae @ FQN9hzhzP_"" calls 10",2026-09-12T02:55:20.307Z,178918172030700
