entry,at,order
"The player ""WoolBall @ AjCjQ1Dzl4"" quits the game with a stack of 16229.",2026-08-25T11:17:17.835Z,178765663783500
"-- ending hand #367 --",2026-08-25T11:06:55.351Z,178765601535102
"""chris @ 5NARaPRkSp"" collected 1900 from pot",2026-08-25T11:06:55.351Z,178765601535101
"Uncalled bet of 1750 returned to ""chris @ 5NARaPRkSp""",2026-08-25T11:06:55.351Z,178765601535100
"""gurtyo @ gpP9uUffpu"" folds",2026-08-25T11:06:54.530Z,178765601453000
"""chris @ 5NARaPRkSp"" raises to 1800",2026-08-25T11:06:53.458Z,178765601345800
"""gurtyo @ gpP9uUffpu"" bets 50",2026-08-25T11:06:50.424Z,178765601042400
"River: 4♥, J♥, 2♦, Q♥ [J♦]",2026-08-25T11:06:48.795Z,178765600879500
"""chris @ 5NARaPRkSp"" calls 150",2026-08-25T11:06:47.948Z,178765600794800
"""gurtyo @ gpP9uUffpu"" bets 150",2026-08-25T11:06:46.533Z,178765600653300
"Turn: 4♥, J♥, 2♦ [Q♥]",2026-08-25T11:06:44.143Z,178765600414300
"""gurtyo @ gpP9uUffpu"" calls 300",2026-08-25T11:06:43.334Z,178765600333400
"""WoolBall @ AjCjQ1Dzl4"" folds",2026-08-25T11:06:42.369Z,178765600236900
"""chris @ 5NARaPRkSp"" bets 300",2026-08-25T11:06:40.515Z,178765600051500
"""gurtyo @ gpP9uUffpu"" checks",2026-08-25T11:06:37.181Z,178765599718100
"""WoolBall @ AjCjQ1Dzl4"" checks",2026-08-25T11:06:35.129Z,178765599512900
"The admin ""gurtyo @ gpP9uUffpu"" enqueued the game stop on next hand.",2026-08-25T11:06:29.789Z,178765598978900
"Flop:  [4♥, J♥, 2♦]",2026-08-25T11:06:22.257Z,178765598225700
"""gurtyo @ gpP9uUffpu"" calls 300",2026-08-25T11:06:21.412Z,178765598141200
"""WoolBall @ AjCjQ1Dzl4"" calls 300",2026-08-25T11:06:11.478Z,178765597147800
"""chris @ 5NARaPRkSp"" raises to 300",2026-08-25T11:05:42.728Z,178765594272800
"""gurtyo @ gpP9uUffpu"" posts a big blind of 50",2026-08-25T11:05:39.764Z,178765593976406
"""WoolBall @ AjCjQ1Dzl4"" posts a small blind of 25",2026-08-25T11:05:39.764Z,178765593976405
"Player stacks: #1 ""gurtyo @ gpP9uUffpu"" (23126) | #2 ""chris @ 5NARaPRkSp"" (9925) | #3 ""WoolBall @ AjCjQ1Dzl4"" (16529)",2026-08-25T11:05:39.764Z,178765593976401
"-- starting hand #367 (id: uhsjaaaeyni3)  No Limit Texas Hold'em (dealer: ""chris @ 5NARaPRkSp"") --",2026-08-25T11:05:39.764Z,178765593976400
"Undealt cards: 2♥, 5♣, 6♣ [4♥, 5♦]",2026-08-25T11:05:35.520Z,178765593552000
"-- ending hand #366 --",2026-08-25T11:05:33.760Z,178765593376002
"""WoolBall @ AjCjQ1Dzl4"" collected 900 from pot",2026-08-25T11:05:33.760Z,178765593376001
"Uncalled bet of 900 returned to ""WoolBall @ AjCjQ1Dzl4""",2026-08-25T11:05:33.760Z,178765593376000
"""chris @ 5NARaPRkSp"" folds",2026-08-25T11:05:32.881Z,178765593288100
"""gurtyo @ gpP9uUffpu"" folds",2026-08-25T11:05:31.960Z,178765593196000
"""WoolBall @ AjCjQ1Dzl4"" bets 900",2026-08-25T11:05:30.580Z,178765593058000
"""chris @ 5NARaPRkSp"" checks",2026-08-25T11:05:26.019Z,178765592601900
"Flop:  [2♥, 5♣, 6♣]",2026-08-25T11:05:24.649Z,178765592464900
"""chris @ 5NARaPRkSp"" calls 300",2026-08-25T11:05:23.832Z,178765592383200
"""gurtyo @ gpP9uUffpu"" calls 300",2026-08-25T11:05:21.715Z,178765592171500
"""WoolBall @ AjCjQ1Dzl4"" raises to 300",2026-08-25T11:05:20.372Z,178765592037200
"""chris @ 5NARaPRkSp"" calls 150",2026-08-25T11:05:16.136Z,178765591613600
"""gurtyo @ gpP9uUffpu"" raises to 150",2026-08-25T11:05:07.726Z,178765590772600
"""WoolBall @ AjCjQ1Dzl4"" posts a big blind of 50",2026-08-25T11:05:06.439Z,178765590643906
"""chris @ 5NARaPRkSp"" posts a small blind of 25",2026-08-25T11:05:06.439Z,178765590643905
"Player stacks: #1 ""gurtyo @ gpP9uUffpu"" (23426) | #2 ""chris @ 5NARaPRkSp"" (10225) | #3 ""WoolBall @ AjCjQ1Dzl4"" (15929)",2026-08-25T11:05:06.439Z,178765590643901
"-- starting hand #366 (id: 1tirnwpbipcj)  No Limit Texas Hold'em (dealer: ""gurtyo @ gpP9uUffpu"") --",2026-08-25T11:05:06.439Z,178765590643900
"-- ending hand #365 --",2026-08-25T11:05:00.412Z,178765590041203
"""WoolBall @ AjCjQ1Dzl4"" collected 300 from pot with Pair, 9's (combination: J♥, Q♦, A♠, 9♣, 9♥)",2026-08-25T11:05:00.412Z,178765590041202
"""WoolBall @ AjCjQ1Dzl4"" shows a 6♠, 9♣.",2026-08-25T11:05:00.412Z,178765590041201
"""chris @ 5NARaPRkSp"" shows a 5♥, 7♣.",2026-08-25T11:05:00.412Z,178765590041200
"""WoolBall @ AjCjQ1Dzl4"" checks",2026-08-25T11:04:59.585Z,178765589958500
"""chris @ 5NARaPRkSp"" checks",2026-08-25T11:04:57.968Z,178765589796800
"River: A♠, 7♠, 9♥, Q♦ [J♥]",2026-08-25T11:04:46.486Z,178765588648600
"""WoolBall @ AjCjQ1Dzl4"" checks",2026-08-25T11:04:45.642Z,178765588564200
"""chris @ 5NARaPRkSp"" checks",2026-08-25T11:04:34.905Z,178765587490500
"Turn: A♠, 7♠, 9♥ [Q♦]",2026-08-25T11:04:33.574Z,178765587357400
"""chris @ 5NARaPRkSp"" calls 75",2026-08-25T11:04:32.764Z,178765587276400
"""gurtyo @ gpP9uUffpu"" folds",2026-08-25T11:04:31.850Z,178765587185000
"""WoolBall @ AjCjQ1Dzl4"" bets 75",2026-08-25T11:04:30.286Z,178765587028600
"""chris @ 5NARaPRkSp"" checks",2026-08-25T11:04:27.151Z,178765586715100
"""gurtyo @ gpP9uUffpu"" checks",2026-08-25T11:04:17.778Z,178765585777800
"Flop:  [A♠, 7♠, 9♥]",2026-08-25T11:04:16.106Z,178765585610600
