entry,at,order
"The player ""gurt @ gpP9uUffpu"" stand up with the stack of 2800.",2026-09-07T00:52:40.172Z,178874236017200
"Undealt cards:  [2♣, J♠, 6♥, 4♦, K♥]",2026-09-07T00:52:34.435Z,178874235443500
"-- ending hand #426 --",2026-09-07T00:52:34.168Z,178874235416802
"""gurt @ gpP9uUffpu"" collected 10 from pot",2026-09-07T00:52:34.168Z,178874235416801
"Uncalled bet of 5 returned to ""gurt @ gpP9uUffpu""",2026-09-07T00:52:34.168Z,178874235416800
"""LingWae @ FQN9hzhzP_"" folds",2026-09-07T00:52:33.346Z,178874235334600
"""gurt @ gpP9uUffpu"" posts a big blind of 10",2026-09-07T00:52:31.802Z,178874235180205
"""LingWae @ FQN9hzhzP_"" posts a small blind of 5",2026-09-07T00:52:31.802Z,178874235180204
"Player stacks: #2 ""LingWae @ FQN9hzhzP_"" (350) | #10 ""gurt @ gpP9uUffpu"" (2795)",2026-09-07T00:52:31.802Z,178874235180201
"-- starting hand #426 (id: r4coqni3iuti)  No Limit Texas Hold'em (dealer: ""LingWae @ FQN9hzhzP_"") --",2026-09-07T00:52:31.802Z,178874235180200
"""LingWae @ FQN9hzhzP_"" shows a 3♣, J♣.",2026-09-07T00:52:26.720Z,178874234672000
"-- ending hand #425 --",2026-09-07T00:52:25.269Z,178874234526902
"""gurt @ gpP9uUffpu"" collected 20 from pot with Pair, 6's (combination: 10♦, Q♦, A♠, 6♦, 6♠)",2026-09-07T00:52:25.269Z,178874234526901
"""gurt @ gpP9uUffpu"" shows a 10♦, 6♦.",2026-09-07T00:52:25.269Z,178874234526900
"""gurt @ gpP9uUffpu"" checks",2026-09-07T00:52:24.446Z,178874234444600
"""LingWae @ FQN9hzhzP_"" checks",2026-09-07T00:52:23.526Z,178874234352600
"River: 4♠, A♠, 6♠, Q♦ [5♣]",2026-09-07T00:52:21.759Z,178874234175900
"""gurt @ gpP9uUffpu"" checks",2026-09-07T00:52:20.923Z,178874234092300
"""LingWae @ FQN9hzhzP_"" checks",2026-09-07T00:52:20.025Z,178874234002500
"Turn: 4♠, A♠, 6♠ [Q♦]",2026-09-07T00:52:18.959Z,178874233895900
"""gurt @ gpP9uUffpu"" checks",2026-09-07T00:52:18.120Z,178874233812000
"""LingWae @ FQN9hzhzP_"" checks",2026-09-07T00:52:17.210Z,178874233721000
"Flop:  [4♠, A♠, 6♠]",2026-09-07T00:52:15.592Z,178874233559200
"""LingWae @ FQN9hzhzP_"" checks",2026-09-07T00:52:14.757Z,178874233475700
"""gurt @ gpP9uUffpu"" calls 10",2026-09-07T00:51:59.236Z,178874231923600
"""LingWae @ FQN9hzhzP_"" posts a big blind of 10",2026-09-07T00:51:58.004Z,178874231800405
"""gurt @ gpP9uUffpu"" posts a small blind of 5",2026-09-07T00:51:58.004Z,178874231800404
"Your hand is 10♦, 6♦",2026-09-07T00:51:58.004Z,178874231800403
"Player stacks: #2 ""LingWae @ FQN9hzhzP_"" (360) | #10 ""gurt @ gpP9uUffpu"" (2785)",2026-09-07T00:51:58.004Z,178874231800401
"-- starting hand #425 (id: xmxknqbdu4wh)  No Limit Texas Hold'em (dealer: ""gurt @ gpP9uUffpu"") --",2026-09-07T00:51:58.004Z,178874231800400
"-- ending hand #424 --",2026-09-07T00:51:51.964Z,178874231196403
"""gurt @ gpP9uUffpu"" collected 80 from pot with Pair, A's (combination: 6♠, 7♠, 9♠, A♦, A♥)",2026-09-07T00:51:51.964Z,178874231196402
"""gurt @ gpP9uUffpu"" shows a 5♥, A♦.",2026-09-07T00:51:51.964Z,178874231196401
"""LingWae @ FQN9hzhzP_"" shows a 8♦, Q♥.",2026-09-07T00:51:51.964Z,178874231196400
"""LingWae @ FQN9hzhzP_"" checks",2026-09-07T00:51:51.149Z,178874231114900
"""gurt @ gpP9uUffpu"" checks",2026-09-07T00:51:49.655Z,178874230965500
"River: 6♠, 9♠, 7♠, 3♦ [A♥]",2026-09-07T00:51:49.491Z,178874230949100
"""LingWae @ FQN9hzhzP_"" checks",2026-09-07T00:51:48.648Z,178874230864800
"""gurt @ gpP9uUffpu"" checks",2026-09-07T00:51:47.686Z,178874230768600
"Turn: 6♠, 9♠, 7♠ [3♦]",2026-09-07T00:51:47.157Z,178874230715700
"""LingWae @ FQN9hzhzP_"" checks",2026-09-07T00:51:46.314Z,178874230631400
"""gurt @ gpP9uUffpu"" checks",2026-09-07T00:51:44.755Z,178874230475500
"Flop:  [6♠, 9♠, 7♠]",2026-09-07T00:51:43.574Z,178874230357400
"""LingWae @ FQN9hzhzP_"" calls 40",2026-09-07T00:51:42.748Z,178874230274800
"""gurt @ gpP9uUffpu"" raises to 40",2026-09-07T00:51:41.847Z,178874230184700
"""LingWae @ FQN9hzhzP_"" calls 10",2026-09-07T00:51:40.234Z,178874230023400
"""gurt @ gpP9uUffpu"" posts a big blind of 10",2026-09-07T00:51:39.154Z,178874229915405
"""LingWae @ FQN9hzhzP_"" posts a small blind of 5",2026-09-07T00:51:39.154Z,178874229915404
"Your hand is 5♥, A♦",2026-09-07T00:51:39.154Z,178874229915403
"Player stacks: #2 ""LingWae @ FQN9hzhzP_"" (400) | #10 ""gurt @ gpP9uUffpu"" (2745)",2026-09-07T00:51:39.154Z,178874229915401
"-- starting hand #424 (id: r5zld25eouex)  No Limit Texas Hold'em (dealer: ""LingWae @ FQN9hzhzP_"") --",2026-09-07T00:51:39.154Z,178874229915400
"""LingWae @ FQN9hzhzP_"" shows a 8♥, 5♦.",2026-09-07T00:51:33.633Z,178874229363300
"Undealt cards: 8♣, Q♠, 5♣, 6♥ [10♠]",2026-09-07T00:51:32.770Z,178874229277000
"-- ending hand #423 --",2026-09-07T00:51:32.550Z,178874229255002
"""LingWae @ FQN9hzhzP_"" collected 20 from pot",2026-09-07T00:51:32.550Z,178874229255001
"Uncalled bet of 15 returned to ""LingWae @ FQN9hzhzP_""",2026-09-07T00:51:32.550Z,178874229255000
