entry,at,order
"The player ""no more 72game @ gpP9uUffpu"" passed the room ownership to ""LingWae @ FQN9hzhzP_"".",2026-09-11T11:19:15.495Z,178912555549500
"The player ""no more 72game @ gpP9uUffpu"" quits the game with a stack of 4210.",2026-09-11T10:17:55.642Z,178912187564200
"""no more 72game @ gpP9uUffpu"" shows a 5♥, 8♦.",2026-09-11T10:17:54.221Z,178912187422100
"The admin ""no more 72game @ gpP9uUffpu"" enqueued the game stop on next hand.",2026-09-11T10:17:52.778Z,178912187277800
"""LingWae @ FQN9hzhzP_"" shows a 4♥.",2026-09-11T10:17:50.078Z,178912187007800
"Undealt cards: K♥, K♠, 10♣ [4♦, A♣]",2026-09-11T10:17:49.295Z,178912186929500
"-- ending hand #241 --",2026-09-11T10:17:48.255Z,178912186825501
"""no more 72game @ gpP9uUffpu"" collected 20 from pot",2026-09-11T10:17:48.255Z,178912186825500
"""LingWae @ FQN9hzhzP_"" folds",2026-09-11T10:17:47.451Z,178912186745100
"Flop:  [K♥, K♠, 10♣]",2026-09-11T10:17:44.234Z,178912186423400
"""no more 72game @ gpP9uUffpu"" checks",2026-09-11T10:17:43.342Z,178912186334200
"""LingWae @ FQN9hzhzP_"" calls 10",2026-09-11T10:17:42.459Z,178912186245900
"""DK @ kCN0-Qy2Mz"" folds",2026-09-11T10:17:27.446Z,178912184744600
"""no more 72game @ gpP9uUffpu"" posts a big blind of 10",2026-09-11T10:17:25.183Z,178912184518306
"""LingWae @ FQN9hzhzP_"" posts a small blind of 5",2026-09-11T10:17:25.183Z,178912184518305
"Your hand is 5♥, 8♦",2026-09-11T10:17:25.183Z,178912184518304
"Player stacks: #1 ""DK @ kCN0-Qy2Mz"" (568) | #2 ""LingWae @ FQN9hzhzP_"" (1482) | #5 ""no more 72game @ gpP9uUffpu"" (4200)",2026-09-11T10:17:25.183Z,178912184518301
"-- starting hand #241 (id: nmzdztliginr)  No Limit Texas Hold'em (dealer: ""DK @ kCN0-Qy2Mz"") --",2026-09-11T10:17:25.183Z,178912184518300
"""LingWae @ FQN9hzhzP_"" shows a 5♥, 8♠.",2026-09-11T10:17:23.946Z,178912184394600
"-- ending hand #240 --",2026-09-11T10:17:21.580Z,178912184158001
"""no more 72game @ gpP9uUffpu"" collected 30 from pot",2026-09-11T10:17:21.580Z,178912184158000
"""LingWae @ FQN9hzhzP_"" folds",2026-09-11T10:17:20.739Z,178912184073900
"""DK @ kCN0-Qy2Mz"" folds",2026-09-11T10:17:18.708Z,178912183870800
"River: 9♥, 3♥, 7♠, Q♦ [10♦]",2026-09-11T10:17:15.981Z,178912183598100
"""no more 72game @ gpP9uUffpu"" checks",2026-09-11T10:17:15.113Z,178912183511300
"""LingWae @ FQN9hzhzP_"" checks",2026-09-11T10:17:14.181Z,178912183418100
"""DK @ kCN0-Qy2Mz"" checks",2026-09-11T10:17:13.221Z,178912183322100
"Turn: 9♥, 3♥, 7♠ [Q♦]",2026-09-11T10:17:12.095Z,178912183209500
"""no more 72game @ gpP9uUffpu"" checks",2026-09-11T10:17:11.231Z,178912183123100
"""LingWae @ FQN9hzhzP_"" checks",2026-09-11T10:17:10.063Z,178912183006300
"""DK @ kCN0-Qy2Mz"" checks",2026-09-11T10:17:09.131Z,178912182913100
"Flop:  [9♥, 3♥, 7♠]",2026-09-11T10:17:07.093Z,178912182709300
"""LingWae @ FQN9hzhzP_"" checks",2026-09-11T10:17:06.277Z,178912182627700
"""DK @ kCN0-Qy2Mz"" calls 10",2026-09-11T10:16:57.294Z,178912181729400
"""no more 72game @ gpP9uUffpu"" calls 10",2026-09-11T10:16:55.245Z,178912181524500
"""LingWae @ FQN9hzhzP_"" posts a big blind of 10",2026-09-11T10:16:54.334Z,178912181433406
