entry,at,order
"The player ""woolball @ oMsP5L3lJa"" quits the game with a stack of 0.",2026-09-01T02:12:10.310Z,178822873031000
"-- ending hand #252 --",2026-09-01T02:12:04.307Z,178822872430701
"""LingWae @ FQN9hzhzP_"" collected 5368 from pot with Two Pair, 4's & 2's (combination: 9♦, 2♠, 2♣, 4♣, 4♥)",2026-09-01T02:12:04.307Z,178822872430700
"River: 2♠, 9♦, 3♠, 2♣ [6♥]",2026-09-01T02:12:00.269Z,178822872026900
"Turn: 2♠, 9♦, 3♠ [2♣]",2026-09-01T02:11:56.195Z,178822871619500
"Flop:  [2♠, 9♦, 3♠]",2026-09-01T02:11:52.149Z,178822871214900
"""woolball @ oMsP5L3lJa"" shows a K♣, Q♣.",2026-09-01T02:11:48.050Z,178822870805002
"""LingWae @ FQN9hzhzP_"" shows a 4♣, 4♥.",2026-09-01T02:11:48.050Z,178822870805001
"Uncalled bet of 182 returned to ""LingWae @ FQN9hzhzP_""",2026-09-01T02:11:48.050Z,178822870805000
"Some players choose to not run it twice.",2026-09-01T02:11:47.227Z,178822870722701
"""woolball @ oMsP5L3lJa"" chooses to not run it twice.",2026-09-01T02:11:47.227Z,178822870722700
"Remaining players decide whether to run it twice.",2026-09-01T02:11:46.127Z,178822870612701
"""woolball @ oMsP5L3lJa"" calls 2684 and go all in",2026-09-01T02:11:46.127Z,178822870612700
"""LingWae @ FQN9hzhzP_"" raises to 2866 and go all in",2026-09-01T02:11:44.906Z,178822870490600
"""woolball @ oMsP5L3lJa"" posts a big blind of 10",2026-09-01T02:11:42.298Z,178822870229805
"""LingWae @ FQN9hzhzP_"" posts a small blind of 5",2026-09-01T02:11:42.298Z,178822870229804
"Player stacks: #2 ""LingWae @ FQN9hzhzP_"" (2866) | #10 ""woolball @ oMsP5L3lJa"" (2684)",2026-09-01T02:11:42.298Z,178822870229801
"-- starting hand #252 (id: a02odm2jqqdy)  No Limit Texas Hold'em (dealer: ""LingWae @ FQN9hzhzP_"") --",2026-09-01T02:11:42.298Z,178822870229800
"""LingWae @ FQN9hzhzP_"" shows a 5♣, Q♠.",2026-09-01T02:11:38.022Z,178822869802200
"-- ending hand #251 --",2026-09-01T02:11:35.787Z,178822869578702
"""woolball @ oMsP5L3lJa"" collected 1734 from pot with Pair, Q's (combination: 8♦, 9♠, 10♥, Q♥, Q♦)",2026-09-01T02:11:35.787Z,178822869578701
