entry,at,order
"Game Config Changes
* Game Type Cyling: off » off
* Double Board: off » off
* Simulated Fee: off » off
* Simulated Fee Percentage: off » null
* Simulated Fee Max Value: none » none
* Bomb Pot: off » off
* Bomb Pot Probability: off » off
* Bomb Pot BB Quantity: off » off
* 7-2 bounty: 30 » off",2026-09-09T05:16:06.037Z,178893096603700
"The player ""gurt @ gpP9uUffpu"" passed the room ownership to ""Henry @ FQN9hzhzP_"".",2026-09-09T05:16:05.973Z,178893096597300
"The player ""gurt @ gpP9uUffpu"" quits the game with a stack of 1909.",2026-09-09T05:10:57.686Z,178893065768601
"The player ""Henry @ FQN9hzhzP_"" stand up with the stack of 2294.",2026-09-09T05:10:57.686Z,178893065768600
"""Henry @ FQN9hzhzP_"" shows a 8♥, 8♠.",2026-09-09T05:10:53.669Z,178893065366900
"Undealt cards:  [9♣, 2♦, A♠, 3♣, A♣]",2026-09-09T05:10:51.451Z,178893065145100
"-- ending hand #418 --",2026-09-09T05:10:51.082Z,178893065108202
"""Henry @ FQN9hzhzP_"" collected 10 from pot",2026-09-09T05:10:51.082Z,178893065108201
"Uncalled bet of 10 returned to ""Henry @ FQN9hzhzP_""",2026-09-09T05:10:51.082Z,178893065108200
"""gurt @ gpP9uUffpu"" folds",2026-09-09T05:10:50.178Z,178893065017800
"""Henry @ FQN9hzhzP_"" raises to 15",2026-09-09T05:10:49.368Z,178893064936800
"""gurt @ gpP9uUffpu"" posts a big blind of 5",2026-09-09T05:10:40.574Z,178893064057405
"""Henry @ FQN9hzhzP_"" posts a small blind of 2",2026-09-09T05:10:40.574Z,178893064057404
"Player stacks: #1 ""gurt @ gpP9uUffpu"" (1914) | #2 ""Henry @ FQN9hzhzP_"" (2289)",2026-09-09T05:10:40.574Z,178893064057401
"-- starting hand #418 (id: bv10pxljemlx)  No Limit Texas Hold'em (dealer: ""Henry @ FQN9hzhzP_"") --",2026-09-09T05:10:40.574Z,178893064057400
"""gurt @ gpP9uUffpu"" shows a K♣, 2♠.",2026-09-09T05:10:39.236Z,178893063923600
"-- ending hand #417 --",2026-09-09T05:10:34.069Z,178893063406902
"""Henry @ FQN9hzhzP_"" collected 132 from pot with Two Pair, A's & 3's (combination: K♦, 3♠, 3♥, A♣, A♦)",2026-09-09T05:10:34.069Z,178893063406901
"""Henry @ FQN9hzhzP_"" shows a K♦, A♣.",2026-09-09T05:10:34.069Z,178893063406900
"""gurt @ gpP9uUffpu"" calls 33",2026-09-09T05:10:33.218Z,178893063321800
"""Henry @ FQN9hzhzP_"" bets 33",2026-09-09T05:10:32.315Z,178893063231500
"River: 2♥, 4♦, 3♠, A♦ [3♥]",2026-09-09T05:10:29.459Z,178893062945900
"""gurt @ gpP9uUffpu"" checks",2026-09-09T05:10:28.634Z,178893062863400
"""Henry @ FQN9hzhzP_"" checks",2026-09-09T05:10:27.728Z,178893062772800
"Turn: 2♥, 4♦, 3♠ [A♦]",2026-09-09T05:10:26.059Z,178893062605900
"""gurt @ gpP9uUffpu"" checks",2026-09-09T05:10:25.179Z,178893062517900
"""Henry @ FQN9hzhzP_"" checks",2026-09-09T05:10:24.293Z,178893062429300
"Flop:  [2♥, 4♦, 3♠]",2026-09-09T05:10:22.658Z,178893062265800
