entry,at,order
"The player ""the pho king @ gpP9uUffpu"" quits the game with a stack of 4000.",2026-08-28T04:05:26.565Z,178788992656500
"""the pho king @ gpP9uUffpu"" shows a 7♠, 2♠.",2026-08-28T04:05:20.983Z,178788992098300
"-- ending hand #444 --",2026-08-28T04:05:20.051Z,178788992005102
"""LingWae @ FQN9hzhzP_"" collected 704 from pot with Two Pair, A's & J's (combination: 10♥, J♥, J♦, A♣, A♥)",2026-08-28T04:05:20.051Z,178788992005101
"""LingWae @ FQN9hzhzP_"" shows a J♥, A♣.",2026-08-28T04:05:20.051Z,178788992005100
"""the pho king @ gpP9uUffpu"" checks",2026-08-28T04:05:19.148Z,178788991914800
"""LingWae @ FQN9hzhzP_"" checks",2026-08-28T04:05:18.223Z,178788991822300
"River: 6♥, 4♣, J♦, 10♥ [A♥]",2026-08-28T04:05:16.648Z,178788991664800
"""the pho king @ gpP9uUffpu"" checks",2026-08-28T04:05:15.787Z,178788991578700
"""LingWae @ FQN9hzhzP_"" checks",2026-08-28T04:05:14.850Z,178788991485000
"Turn: 6♥, 4♣, J♦ [10♥]",2026-08-28T04:05:13.930Z,178788991393000
"""the pho king @ gpP9uUffpu"" checks",2026-08-28T04:05:13.112Z,178788991311200
"""LingWae @ FQN9hzhzP_"" checks",2026-08-28T04:05:12.201Z,178788991220100
"Flop:  [6♥, 4♣, J♦]",2026-08-28T04:04:54.770Z,178788989477000
"""LingWae @ FQN9hzhzP_"" calls 352",2026-08-28T04:04:53.967Z,178788989396700
"""the pho king @ gpP9uUffpu"" raises to 352",2026-08-28T04:04:53.021Z,178788989302100
"""LingWae @ FQN9hzhzP_"" posts a big blind of 20",2026-08-28T04:04:49.368Z,178788988936805
"""the pho king @ gpP9uUffpu"" posts a small blind of 10",2026-08-28T04:04:49.368Z,178788988936804
"Your hand is 7♠, 2♠",2026-08-28T04:04:49.368Z,178788988936803
"Player stacks: #1 ""LingWae @ FQN9hzhzP_"" (2648) | #10 ""the pho king @ gpP9uUffpu"" (4352)",2026-08-28T04:04:49.368Z,178788988936801
"-- starting hand #444 (id: ek9nvifzq6fx)  No Limit Texas Hold'em (dealer: ""the pho king @ gpP9uUffpu"") --",2026-08-28T04:04:49.368Z,178788988936800
"""LingWae @ FQN9hzhzP_"" shows a J♣, 3♥.",2026-08-28T04:04:45.066Z,178788988506600
"Undealt cards:  [5♦, 2♣, J♦, 5♣, 5♠]",2026-08-28T04:04:44.385Z,178788988438500
"-- ending hand #443 --",2026-08-28T04:04:42.687Z,178788988268702
"""the pho king @ gpP9uUffpu"" collected 40 from pot",2026-08-28T04:04:42.687Z,178788988268701
"Uncalled bet of 312 returned to ""the pho king @ gpP9uUffpu""",2026-08-28T04:04:42.687Z,178788988268700
"""LingWae @ FQN9hzhzP_"" folds",2026-08-28T04:04:41.877Z,178788988187700
"""the pho king @ gpP9uUffpu"" raises to 332",2026-08-28T04:04:40.248Z,178788988024800
"""LingWae @ FQN9hzhzP_"" calls 20",2026-08-28T04:04:35.234Z,178788987523400
"""the pho king @ gpP9uUffpu"" posts a big blind of 20",2026-08-28T04:04:33.154Z,178788987315405
"""LingWae @ FQN9hzhzP_"" posts a small blind of 10",2026-08-28T04:04:33.154Z,178788987315404
"Player stacks: #1 ""LingWae @ FQN9hzhzP_"" (2668) | #10 ""the pho king @ gpP9uUffpu"" (4332)",2026-08-28T04:04:33.154Z,178788987315401
"-- starting hand #443 (id: yf0ri8rdnsph)  No Limit Texas Hold'em (dealer: ""LingWae @ FQN9hzhzP_"") --",2026-08-28T04:04:33.154Z,178788987315400
"""LingWae @ FQN9hzhzP_"" shows a 7♦, 4♣.",2026-08-28T04:04:27.859Z,178788986785900
"Undealt cards:  [Q♦, A♠, 10♥, Q♥, 2♣]",2026-08-28T04:04:27.536Z,178788986753600
"""the pho king @ gpP9uUffpu"" shows a 8♦, 3♠.",2026-08-28T04:04:26.923Z,178788986692300
"-- ending hand #442 --",2026-08-28T04:04:25.830Z,178788986583002
"""the pho king @ gpP9uUffpu"" collected 40 from pot",2026-08-28T04:04:25.830Z,178788986583001
"Uncalled bet of 282 returned to ""the pho king @ gpP9uUffpu""",2026-08-28T04:04:25.830Z,178788986583000
"""LingWae @ FQN9hzhzP_"" folds",2026-08-28T04:04:24.989Z,178788986498900
"""the pho king @ gpP9uUffpu"" raises to 302",2026-08-28T04:04:16.746Z,178788985674600
"""LingWae @ FQN9hzhzP_"" posts a big blind of 20",2026-08-28T04:04:10.787Z,178788985078705
"""the pho king @ gpP9uUffpu"" posts a small blind of 10",2026-08-28T04:04:10.787Z,178788985078704
"Your hand is 8♦, 3♠",2026-08-28T04:04:10.787Z,178788985078703
"Player stacks: #1 ""LingWae @ FQN9hzhzP_"" (2688) | #10 ""the pho king @ gpP9uUffpu"" (4312)",2026-08-28T04:04:10.787Z,178788985078701
"-- starting hand #442 (id: kdm4qmc9muru)  No Limit Texas Hold'em (dealer: ""the pho king @ gpP9uUffpu"") --",2026-08-28T04:04:10.787Z,178788985078700
"""LingWae @ FQN9hzhzP_"" shows a 10♠.",2026-08-28T04:04:08.726Z,178788984872600
"-- ending hand #441 --",2026-08-28T04:04:07.185Z,178788984718502
"""LingWae @ FQN9hzhzP_"" collected 388 from pot",2026-08-28T04:04:07.185Z,178788984718501
"Uncalled bet of 167 returned to ""LingWae @ FQN9hzhzP_""",2026-08-28T04:04:07.185Z,178788984718500
"""the pho king @ gpP9uUffpu"" folds",2026-08-28T04:04:06.362Z,178788984636200
"""LingWae @ FQN9hzhzP_"" bets 167",2026-08-28T04:04:04.500Z,178788984450000
"""the pho king @ gpP9uUffpu"" checks",2026-08-28T04:04:00.195Z,178788984019500
"River: 8♥, 10♣, 3♣, 8♠ [6♠]",2026-08-28T04:03:58.939Z,178788983893900
"""the pho king @ gpP9uUffpu"" calls 67",2026-08-28T04:03:58.104Z,178788983810400
"""LingWae @ FQN9hzhzP_"" bets 67",2026-08-28T04:03:51.066Z,178788983106600
"""the pho king @ gpP9uUffpu"" checks",2026-08-28T04:03:48.801Z,178788982880100
"Turn: 8♥, 10♣, 3♣ [8♠]",2026-08-28T04:03:47.849Z,178788982784900
"""the pho king @ gpP9uUffpu"" calls 67",2026-08-28T04:03:47.030Z,178788982703000
"""LingWae @ FQN9hzhzP_"" bets 67",2026-08-28T04:03:46.081Z,178788982608100
"""the pho king @ gpP9uUffpu"" checks",2026-08-28T04:03:42.962Z,178788982296200
"Flop:  [8♥, 10♣, 3♣]",2026-08-28T04:03:41.943Z,178788982194300
"""LingWae @ FQN9hzhzP_"" calls 60",2026-08-28T04:03:41.116Z,178788982111600
"""the pho king @ gpP9uUffpu"" raises to 60",2026-08-28T04:03:39.624Z,178788981962400
"""LingWae @ FQN9hzhzP_"" calls 20",2026-08-28T04:03:37.120Z,178788981712000
"""the pho king @ gpP9uUffpu"" posts a big blind of 20",2026-08-28T04:03:34.103Z,178788981410305
"""LingWae @ FQN9hzhzP_"" posts a small blind of 10",2026-08-28T04:03:34.103Z,178788981410304
"Player stacks: #1 ""LingWae @ FQN9hzhzP_"" (2494) | #10 ""the pho king @ gpP9uUffpu"" (4506)",2026-08-28T04:03:34.103Z,178788981410301
"-- starting hand #441 (id: xvouorskovhv)  No Limit Texas Hold'em (dealer: ""LingWae @ FQN9hzhzP_"") --",2026-08-28T04:03:34.103Z,178788981410300
"""LingWae @ FQN9hzhzP_"" shows a 9♣.",2026-08-28T04:03:32.616Z,178788981261600
"-- ending hand #440 --",2026-08-28T04:03:30.499Z,178788981049902
"""LingWae @ FQN9hzhzP_"" collected 602 from pot",2026-08-28T04:03:30.499Z,178788981049901
"Uncalled bet of 420 returned to ""LingWae @ FQN9hzhzP_""",2026-08-28T04:03:30.499Z,178788981049900
"""the pho king @ gpP9uUffpu"" folds",2026-08-28T04:03:29.666Z,178788980966600
"""LingWae @ FQN9hzhzP_"" bets 420",2026-08-28T04:03:28.101Z,178788980810100
"River: 4♠, Q♥, 6♦, 7♥ [2♣]",2026-08-28T04:03:25.557Z,178788980555700
"""the pho king @ gpP9uUffpu"" calls 167",2026-08-28T04:03:24.744Z,178788980474400
"""LingWae @ FQN9hzhzP_"" bets 167",2026-08-28T04:03:22.849Z,178788980284900
"Turn: 4♠, Q♥, 6♦ [7♥]",2026-08-28T04:03:20.194Z,178788980019400
"""the pho king @ gpP9uUffpu"" calls 67",2026-08-28T04:03:19.391Z,178788979939100
"""LingWae @ FQN9hzhzP_"" bets 67",2026-08-28T04:03:18.437Z,178788979843700
"Flop:  [4♠, Q♥, 6♦]",2026-08-28T04:03:14.992Z,178788979499200
"""the pho king @ gpP9uUffpu"" calls 67",2026-08-28T04:03:14.186Z,178788979418600
