entry,at,order
"-- ending hand #395 --",2026-08-23T02:54:19.941Z,178745365994102
"""me but phone @ 2_XManGG7d"" collected 300 from pot with Two Pair, A's & 9's (combination: Q♦, 9♥, 9♠, A♣, A♠)",2026-08-23T02:54:19.941Z,178745365994101
"""me but phone @ 2_XManGG7d"" shows a 5♦, A♣.",2026-08-23T02:54:19.941Z,178745365994100
"""au @ 5NARaPRkSp"" calls 60",2026-08-23T02:54:19.130Z,178745365913000
"""me but phone @ 2_XManGG7d"" raises to 60",2026-08-23T02:54:17.691Z,178745365769100
"""au @ 5NARaPRkSp"" bets 30",2026-08-23T02:54:13.626Z,178745365362600
"River: 2♣, A♠, Q♦, 9♥ [9♠]",2026-08-23T02:54:10.927Z,178745365092700
"""me but phone @ 2_XManGG7d"" checks",2026-08-23T02:54:10.065Z,178745365006500
"""au @ 5NARaPRkSp"" checks",2026-08-23T02:54:08.643Z,178745364864300
"Turn: 2♣, A♠, Q♦ [9♥]",2026-08-23T02:54:07.439Z,178745364743900
"""me but phone @ 2_XManGG7d"" checks",2026-08-23T02:54:06.616Z,178745364661600
"""au @ 5NARaPRkSp"" checks",2026-08-23T02:54:04.849Z,178745364484900
"Flop:  [2♣, A♠, Q♦]",2026-08-23T02:54:03.241Z,178745364324100
"""me but phone @ 2_XManGG7d"" calls 90",2026-08-23T02:54:02.409Z,178745364240900
"The admin ""me but phone @ 2_XManGG7d"" enqueued the game stop on next hand.",2026-08-23T02:53:59.590Z,178745363959000
"""au @ 5NARaPRkSp"" raises to 90",2026-08-23T02:53:56.402Z,178745363640200
"""me but phone @ 2_XManGG7d"" raises to 30",2026-08-23T02:53:51.355Z,178745363135500
"""au @ 5NARaPRkSp"" posts a big blind of 10",2026-08-23T02:53:44.503Z,178745362450305
"""me but phone @ 2_XManGG7d"" posts a small blind of 5",2026-08-23T02:53:44.503Z,178745362450304
"Player stacks: #2 ""au @ 5NARaPRkSp"" (1290) | #10 ""me but phone @ 2_XManGG7d"" (2210)",2026-08-23T02:53:44.503Z,178745362450301
"-- starting hand #395 (id: wowtcy2025dh)  No Limit Texas Hold'em (dealer: ""me but phone @ 2_XManGG7d"") --",2026-08-23T02:53:44.503Z,178745362450300
"-- ending hand #394 --",2026-08-23T02:53:41.573Z,178745362157302
"""au @ 5NARaPRkSp"" collected 100 from pot",2026-08-23T02:53:41.573Z,178745362157301
"Uncalled bet of 50 returned to ""au @ 5NARaPRkSp""",2026-08-23T02:53:41.573Z,178745362157300
"""me but phone @ 2_XManGG7d"" folds",2026-08-23T02:53:40.715Z,178745362071500
"""au @ 5NARaPRkSp"" bets 50",2026-08-23T02:53:39.191Z,178745361919100
"""me but phone @ 2_XManGG7d"" checks",2026-08-23T02:53:37.065Z,178745361706500
"River: J♦, 10♣, 9♥, J♥ [8♥]",2026-08-23T02:53:34.688Z,178745361468800
"""au @ 5NARaPRkSp"" checks",2026-08-23T02:53:33.878Z,178745361387800
"""me but phone @ 2_XManGG7d"" checks",2026-08-23T02:53:30.270Z,178745361027000
"Turn: J♦, 10♣, 9♥ [J♥]",2026-08-23T02:53:28.405Z,178745360840500
"""au @ 5NARaPRkSp"" calls 25",2026-08-23T02:53:27.599Z,178745360759900
"""me but phone @ 2_XManGG7d"" bets 25",2026-08-23T02:53:22.477Z,178745360247700
"Flop:  [J♦, 10♣, 9♥]",2026-08-23T02:53:19.759Z,178745359975900
"""me but phone @ 2_XManGG7d"" calls 25",2026-08-23T02:53:18.915Z,178745359891500
"""au @ 5NARaPRkSp"" raises to 25",2026-08-23T02:53:17.893Z,178745359789300
"""me but phone @ 2_XManGG7d"" posts a big blind of 10",2026-08-23T02:53:14.956Z,178745359495605
"""au @ 5NARaPRkSp"" posts a small blind of 5",2026-08-23T02:53:14.956Z,178745359495604
"Player stacks: #2 ""au @ 5NARaPRkSp"" (1240) | #10 ""me but phone @ 2_XManGG7d"" (2260)",2026-08-23T02:53:14.956Z,178745359495601
"-- starting hand #394 (id: gxwwbj8dafe6)  No Limit Texas Hold'em (dealer: ""au @ 5NARaPRkSp"") --",2026-08-23T02:53:14.956Z,178745359495600
"-- ending hand #393 --",2026-08-23T02:53:08.992Z,178745358899202
"""me but phone @ 2_XManGG7d"" collected 60 from pot",2026-08-23T02:53:08.992Z,178745358899201
"Uncalled bet of 20 returned to ""me but phone @ 2_XManGG7d""",2026-08-23T02:53:08.992Z,178745358899200
"""au @ 5NARaPRkSp"" folds",2026-08-23T02:53:08.159Z,178745358815900
"""me but phone @ 2_XManGG7d"" bets 20",2026-08-23T02:53:07.130Z,178745358713000
"""au @ 5NARaPRkSp"" checks",2026-08-23T02:53:04.280Z,178745358428000
"Flop:  [7♣, K♦, 2♥]",2026-08-23T02:53:02.015Z,178745358201500
"""au @ 5NARaPRkSp"" calls 30",2026-08-23T02:53:01.120Z,178745358112000
"""me but phone @ 2_XManGG7d"" raises to 30",2026-08-23T02:53:00.165Z,178745358016500
"""au @ 5NARaPRkSp"" posts a big blind of 10",2026-08-23T02:52:58.187Z,178745357818705
"""me but phone @ 2_XManGG7d"" posts a small blind of 5",2026-08-23T02:52:58.187Z,178745357818704
"Player stacks: #2 ""au @ 5NARaPRkSp"" (1270) | #10 ""me but phone @ 2_XManGG7d"" (2230)",2026-08-23T02:52:58.187Z,178745357818701
"-- starting hand #393 (id: tou0zkxkibo5)  No Limit Texas Hold'em (dealer: ""me but phone @ 2_XManGG7d"") --",2026-08-23T02:52:58.187Z,178745357818700
"-- ending hand #392 --",2026-08-23T02:52:52.266Z,178745357226602
"""me but phone @ 2_XManGG7d"" collected 10 from pot",2026-08-23T02:52:52.266Z,178745357226601
"Uncalled bet of 5 returned to ""me but phone @ 2_XManGG7d""",2026-08-23T02:52:52.266Z,178745357226600
"""au @ 5NARaPRkSp"" folds",2026-08-23T02:52:51.446Z,178745357144600
"""me but phone @ 2_XManGG7d"" posts a big blind of 10",2026-08-23T02:52:49.787Z,178745356978705
"""au @ 5NARaPRkSp"" posts a small blind of 5",2026-08-23T02:52:49.787Z,178745356978704
"Player stacks: #2 ""au @ 5NARaPRkSp"" (1275) | #10 ""me but phone @ 2_XManGG7d"" (2225)",2026-08-23T02:52:49.787Z,178745356978701
"-- starting hand #392 (id: lcws8he24sid)  No Limit Texas Hold'em (dealer: ""au @ 5NARaPRkSp"") --",2026-08-23T02:52:49.787Z,178745356978700
"-- ending hand #391 --",2026-08-23T02:52:43.782Z,178745356378202
"""au @ 5NARaPRkSp"" collected 10 from pot",2026-08-23T02:52:43.782Z,178745356378201
"Uncalled bet of 5 returned to ""au @ 5NARaPRkSp""",2026-08-23T02:52:43.782Z,178745356378200
"""me but phone @ 2_XManGG7d"" folds",2026-08-23T02:52:42.934Z,178745356293400
"""au @ 5NARaPRkSp"" posts a big blind of 10",2026-08-23T02:52:41.977Z,178745356197705
"""me but phone @ 2_XManGG7d"" posts a small blind of 5",2026-08-23T02:52:41.977Z,178745356197704
"Player stacks: #2 ""au @ 5NARaPRkSp"" (1270) | #10 ""me but phone @ 2_XManGG7d"" (2230)",2026-08-23T02:52:41.977Z,178745356197701
"-- starting hand #391 (id: byzu7l25fzrz)  No Limit Texas Hold'em (dealer: ""me but phone @ 2_XManGG7d"") --",2026-08-23T02:52:41.977Z,178745356197700
"-- ending hand #390 --",2026-08-23T02:52:36.021Z,178745355602102
"""au @ 5NARaPRkSp"" collected 20 from pot",2026-08-23T02:52:36.021Z,178745355602101
