entry,at,order
"The player ""HSJ @ FJqZyN7BjN"" quits the game with a stack of 0.",2026-08-01T01:53:25.714Z,178554920571400
"-- ending hand #233 --",2026-08-01T01:53:19.666Z,178554919966604
"""HSJ @ FJqZyN7BjN"" shows a 5♣, 8♠.",2026-08-01T01:53:19.666Z,178554919966603
"""500 @ gpP9uUffpu"" collected 2934 from pot with Straight, Q High (combination: 8♦, 9♥, 10♦, J♠, Q♥)",2026-08-01T01:53:19.666Z,178554919966602
"""500 @ gpP9uUffpu"" shows a 10♠, Q♥.",2026-08-01T01:53:19.666Z,178554919966601
"Uncalled bet of 3043 returned to ""500 @ gpP9uUffpu""",2026-08-01T01:53:19.666Z,178554919966600
"""HSJ @ FJqZyN7BjN"" calls 1382 and go all in",2026-08-01T01:53:18.821Z,178554919882100
"""500 @ gpP9uUffpu"" bets 4425 and go all in",2026-08-01T01:53:17.852Z,178554919785200
"""HSJ @ FJqZyN7BjN"" checks",2026-08-01T01:53:16.130Z,178554919613000
"River: 8♦, 7♦, 9♥, 10♦ [J♠]",2026-08-01T01:53:12.781Z,178554919278100
"""500 @ gpP9uUffpu"" calls 5",2026-08-01T01:53:11.953Z,178554919195300
"""HSJ @ FJqZyN7BjN"" bets 5",2026-08-01T01:53:10.988Z,178554919098800
"Turn: 8♦, 7♦, 9♥ [10♦]",2026-08-01T01:53:09.978Z,178554918997800
"""500 @ gpP9uUffpu"" calls 65",2026-08-01T01:53:09.127Z,178554918912700
"""HSJ @ FJqZyN7BjN"" raises to 65",2026-08-01T01:53:08.128Z,178554918812800
"""500 @ gpP9uUffpu"" raises to 35",2026-08-01T01:53:05.980Z,178554918598000
"""HSJ @ FJqZyN7BjN"" bets 5",2026-08-01T01:53:02.837Z,178554918283700
"Flop:  [8♦, 7♦, 9♥]",2026-08-01T01:53:00.551Z,178554918055100
"""HSJ @ FJqZyN7BjN"" calls 15",2026-08-01T01:52:59.707Z,178554917970700
"""500 @ gpP9uUffpu"" raises to 15",2026-08-01T01:52:58.832Z,178554917883200
"""HSJ @ FJqZyN7BjN"" posts a big blind of 5",2026-08-01T01:52:57.351Z,178554917735105
"""500 @ gpP9uUffpu"" posts a small blind of 2",2026-08-01T01:52:57.351Z,178554917735104
"Your hand is 10♠, Q♥",2026-08-01T01:52:57.351Z,178554917735102
"Player stacks: #1 ""500 @ gpP9uUffpu"" (4510) | #2 ""HSJ @ FJqZyN7BjN"" (1467)",2026-08-01T01:52:57.351Z,178554917735101
"-- starting hand #233 (id: 7ouqo99m4ff7)  No Limit Texas Hold'em (dealer: ""500 @ gpP9uUffpu"") --",2026-08-01T01:52:57.351Z,178554917735100
"""HSJ @ FJqZyN7BjN"" shows a 5♦.",2026-08-01T01:52:55.210Z,178554917521000
"-- ending hand #232 --",2026-08-01T01:52:53.680Z,178554917368002
"""HSJ @ FJqZyN7BjN"" collected 30 from pot",2026-08-01T01:52:53.680Z,178554917368001
"Uncalled bet of 1437 returned to ""HSJ @ FJqZyN7BjN""",2026-08-01T01:52:53.680Z,178554917368000
"""500 @ gpP9uUffpu"" folds",2026-08-01T01:52:52.873Z,178554917287300
"""HSJ @ FJqZyN7BjN"" raises to 1442 and go all in",2026-08-01T01:52:51.738Z,178554917173800
"""500 @ gpP9uUffpu"" bets 5",2026-08-01T01:52:48.046Z,178554916804600
"River: A♦, 3♦, 10♥, 4♣ [2♦]",2026-08-01T01:52:46.802Z,178554916680200
"""HSJ @ FJqZyN7BjN"" checks",2026-08-01T01:52:45.932Z,178554916593200
"""500 @ gpP9uUffpu"" checks",2026-08-01T01:52:44.399Z,178554916439900
"Turn: A♦, 3♦, 10♥ [4♣]",2026-08-01T01:52:43.317Z,178554916331700
"""HSJ @ FJqZyN7BjN"" checks",2026-08-01T01:52:42.494Z,178554916249400
"""500 @ gpP9uUffpu"" checks",2026-08-01T01:52:41.621Z,178554916162100
"Flop:  [A♦, 3♦, 10♥]",2026-08-01T01:52:40.398Z,178554916039800
"""500 @ gpP9uUffpu"" calls 10",2026-08-01T01:52:39.554Z,178554915955400
"""HSJ @ FJqZyN7BjN"" raises to 10",2026-08-01T01:52:38.599Z,178554915859900
"""500 @ gpP9uUffpu"" posts a big blind of 5",2026-08-01T01:52:37.450Z,178554915745005
"""HSJ @ FJqZyN7BjN"" posts a small blind of 2",2026-08-01T01:52:37.450Z,178554915745004
"Player stacks: #1 ""500 @ gpP9uUffpu"" (4525) | #2 ""HSJ @ FJqZyN7BjN"" (1452)",2026-08-01T01:52:37.450Z,178554915745001
"-- starting hand #232 (id: grdxfnvrybli)  No Limit Texas Hold'em (dealer: ""HSJ @ FJqZyN7BjN"") --",2026-08-01T01:52:37.450Z,178554915745000
"""500 @ gpP9uUffpu"" shows a 6♣, 4♦.",2026-08-01T01:52:34.944Z,178554915494400
"-- ending hand #231 --",2026-08-01T01:52:33.716Z,178554915371602
"""500 @ gpP9uUffpu"" collected 630 from pot",2026-08-01T01:52:33.716Z,178554915371601
"Uncalled bet of 3895 returned to ""500 @ gpP9uUffpu""",2026-08-01T01:52:33.716Z,178554915371600
"""HSJ @ FJqZyN7BjN"" folds",2026-08-01T01:52:32.875Z,178554915287500
"""500 @ gpP9uUffpu"" raises to 4105 and go all in",2026-08-01T01:52:09.846Z,178554912984600
"""HSJ @ FJqZyN7BjN"" bets 210",2026-08-01T01:52:07.389Z,178554912738900
"River: 5♠, A♦, 7♥, 8♥ [A♣]",2026-08-01T01:52:04.964Z,178554912496400
"""HSJ @ FJqZyN7BjN"" calls 90",2026-08-01T01:52:04.082Z,178554912408200
"""500 @ gpP9uUffpu"" raises to 90",2026-08-01T01:52:03.222Z,178554912322200
"""HSJ @ FJqZyN7BjN"" bets 5",2026-08-01T01:51:59.477Z,178554911947700
"Turn: 5♠, A♦, 7♥ [8♥]",2026-08-01T01:51:57.919Z,178554911791900
"""HSJ @ FJqZyN7BjN"" calls 10",2026-08-01T01:51:57.092Z,178554911709200
"""500 @ gpP9uUffpu"" bets 10",2026-08-01T01:51:55.529Z,178554911552900
"""HSJ @ FJqZyN7BjN"" checks",2026-08-01T01:51:53.980Z,178554911398000
"Flop:  [5♠, A♦, 7♥]",2026-08-01T01:51:52.312Z,178554911231200
"""HSJ @ FJqZyN7BjN"" checks",2026-08-01T01:51:51.475Z,178554911147500
"""500 @ gpP9uUffpu"" calls 5",2026-08-01T01:51:50.585Z,178554911058500
"""HSJ @ FJqZyN7BjN"" posts a big blind of 5",2026-08-01T01:51:49.649Z,178554910964905
"""500 @ gpP9uUffpu"" posts a small blind of 2",2026-08-01T01:51:49.649Z,178554910964904
"Your hand is 6♣, 4♦",2026-08-01T01:51:49.649Z,178554910964902
"Player stacks: #1 ""500 @ gpP9uUffpu"" (4210) | #2 ""HSJ @ FJqZyN7BjN"" (1767)",2026-08-01T01:51:49.649Z,178554910964901
"-- starting hand #231 (id: njco9q3x2dtu)  No Limit Texas Hold'em (dealer: ""500 @ gpP9uUffpu"") --",2026-08-01T01:51:49.649Z,178554910964900
"-- ending hand #230 --",2026-08-01T01:51:46.648Z,178554910664802
"""HSJ @ FJqZyN7BjN"" collected 810 from pot",2026-08-01T01:51:46.648Z,178554910664801
"Uncalled bet of 957 returned to ""HSJ @ FJqZyN7BjN""",2026-08-01T01:51:46.648Z,178554910664800
"""500 @ gpP9uUffpu"" folds",2026-08-01T01:51:45.838Z,178554910583800
"""HSJ @ FJqZyN7BjN"" raises to 1227 and go all in",2026-08-01T01:51:37.477Z,178554909747700
"""500 @ gpP9uUffpu"" bets 270",2026-08-01T01:51:35.054Z,178554909505400
"River: 6♣, Q♣, K♣, Q♥ [4♦]",2026-08-01T01:51:33.417Z,178554909341700
"""HSJ @ FJqZyN7BjN"" calls 90",2026-08-01T01:51:32.539Z,178554909253900
"""500 @ gpP9uUffpu"" bets 90",2026-08-01T01:51:31.401Z,178554909140100
"Turn: 6♣, Q♣, K♣ [Q♥]",2026-08-01T01:51:29.863Z,178554908986300
"""HSJ @ FJqZyN7BjN"" calls 15",2026-08-01T01:51:29.043Z,178554908904300
"""500 @ gpP9uUffpu"" bets 15",2026-08-01T01:51:28.167Z,178554908816700
"Flop:  [6♣, Q♣, K♣]",2026-08-01T01:51:26.261Z,178554908626100
"""HSJ @ FJqZyN7BjN"" calls 30",2026-08-01T01:51:25.441Z,178554908544100
"""500 @ gpP9uUffpu"" raises to 30",2026-08-01T01:51:24.526Z,178554908452600
"""HSJ @ FJqZyN7BjN"" raises to 10",2026-08-01T01:51:22.223Z,178554908222300
"""500 @ gpP9uUffpu"" posts a big blind of 5",2026-08-01T01:51:21.009Z,178554908100905
"""HSJ @ FJqZyN7BjN"" posts a small blind of 2",2026-08-01T01:51:21.009Z,178554908100904
"Player stacks: #1 ""500 @ gpP9uUffpu"" (4615) | #2 ""HSJ @ FJqZyN7BjN"" (1362)",2026-08-01T01:51:21.009Z,178554908100901
