entry,at,order
"The player ""FakeAMish @ lpiR56ny_b"" passed the room ownership to ""yrraH @ 3eHJYCMqYM"".",2026-09-10T09:27:55.952Z,178903247595200
"The player ""FakeAMish @ lpiR56ny_b"" quits the game with a stack of 1882.",2026-09-10T09:17:59.676Z,178903187967601
"Game Config Changes
* Game Type Cyling: off » off
* Double Board: off » off
* Simulated Fee: off » off
* Simulated Fee Percentage: off » null
* Simulated Fee Max Value: none » none
* Bomb Pot: off » off
* Bomb Pot Probability: off » off
* Bomb Pot BB Quantity: off » off
* 7-2 bounty: 30 » off",2026-09-10T09:17:59.676Z,178903187967600
"-- ending hand #262 --",2026-09-10T09:17:53.757Z,178903187375701
"""LingWae @ FQN9hzhzP_"" collected 30 from pot",2026-09-10T09:17:53.757Z,178903187375700
"""FakeAMish @ lpiR56ny_b"" folds",2026-09-10T09:17:52.894Z,178903187289400
"The player ""gurt @ gpP9uUffpu"" passed the room ownership to ""FakeAMish @ lpiR56ny_b"".",2026-09-10T09:17:37.421Z,178903185742101
"""LingWae @ FQN9hzhzP_"" checks",2026-09-10T09:17:37.421Z,178903185742100
"Turn: 2♠, 7♣, J♥ [9♥]",2026-09-10T09:17:35.546Z,178903185554600
"""FakeAMish @ lpiR56ny_b"" checks",2026-09-10T09:17:34.677Z,178903185467700
"""LingWae @ FQN9hzhzP_"" checks",2026-09-10T09:17:33.319Z,178903185331900
"Flop:  [2♠, 7♣, J♥]",2026-09-10T09:17:27.800Z,178903184780000
"""FakeAMish @ lpiR56ny_b"" calls 15",2026-09-10T09:17:26.981Z,178903184698100
"""LingWae @ FQN9hzhzP_"" raises to 15",2026-09-10T09:17:25.366Z,178903184536600
"""FakeAMish @ lpiR56ny_b"" calls 5",2026-09-10T09:17:18.762Z,178903183876200
"""LingWae @ FQN9hzhzP_"" posts a big blind of 5",2026-09-10T09:17:17.137Z,178903183713705
"""FakeAMish @ lpiR56ny_b"" posts a small blind of 2",2026-09-10T09:17:17.137Z,178903183713704
"Player stacks: #7 ""FakeAMish @ lpiR56ny_b"" (1897) | #9 ""LingWae @ FQN9hzhzP_"" (1301)",2026-09-10T09:17:17.137Z,178903183713701
"-- starting hand #262 (id: ua2kegbkihvl)  No Limit Texas Hold'em (dealer: ""FakeAMish @ lpiR56ny_b"") --",2026-09-10T09:17:17.137Z,178903183713700
"-- ending hand #261 --",2026-09-10T09:17:11.132Z,178903183113202
"""LingWae @ FQN9hzhzP_"" collected 150 from pot",2026-09-10T09:17:11.132Z,178903183113201
"Uncalled bet of 85 returned to ""LingWae @ FQN9hzhzP_""",2026-09-10T09:17:11.132Z,178903183113200
"""FakeAMish @ lpiR56ny_b"" folds",2026-09-10T09:17:10.309Z,178903183030900
"""LingWae @ FQN9hzhzP_"" bets 85",2026-09-10T09:17:08.759Z,178903182875900
"""FakeAMish @ lpiR56ny_b"" checks",2026-09-10T09:17:05.871Z,178903182587100
"Turn: 5♥, 9♥, 8♠ [K♠]",2026-09-10T09:17:03.632Z,178903182363200
"""FakeAMish @ lpiR56ny_b"" calls 50",2026-09-10T09:17:02.790Z,178903182279000
"""LingWae @ FQN9hzhzP_"" raises to 50",2026-09-10T09:17:01.156Z,178903182115600
"""FakeAMish @ lpiR56ny_b"" bets 10",2026-09-10T09:16:59.087Z,178903181908700
"Flop:  [5♥, 9♥, 8♠]",2026-09-10T09:16:56.263Z,178903181626300
"""FakeAMish @ lpiR56ny_b"" calls 25",2026-09-10T09:16:55.413Z,178903181541300
"""LingWae @ FQN9hzhzP_"" raises to 25",2026-09-10T09:16:53.329Z,178903181332900
"""FakeAMish @ lpiR56ny_b"" posts a big blind of 5",2026-09-10T09:16:50.057Z,178903181005705
"""LingWae @ FQN9hzhzP_"" posts a small blind of 2",2026-09-10T09:16:50.057Z,178903181005704
"Player stacks: #7 ""FakeAMish @ lpiR56ny_b"" (1972) | #9 ""LingWae @ FQN9hzhzP_"" (1226)",2026-09-10T09:16:50.057Z,178903181005701
"-- starting hand #261 (id: 6f2dhvpv8yic)  No Limit Texas Hold'em (dealer: ""LingWae @ FQN9hzhzP_"") --",2026-09-10T09:16:50.057Z,178903181005700
"-- ending hand #260 --",2026-09-10T09:16:44.051Z,178903180405103
"""LingWae @ FQN9hzhzP_"" collected 100 from pot with Pair, 7's (combination: 10♠, Q♥, K♦, 7♥, 7♦)",2026-09-10T09:16:44.051Z,178903180405102
"""LingWae @ FQN9hzhzP_"" shows a Q♥, K♦.",2026-09-10T09:16:44.051Z,178903180405101
"""FakeAMish @ lpiR56ny_b"" shows a 6♠, J♠.",2026-09-10T09:16:44.051Z,178903180405100
"""FakeAMish @ lpiR56ny_b"" checks",2026-09-10T09:16:43.188Z,178903180318800
"""LingWae @ FQN9hzhzP_"" checks",2026-09-10T09:16:41.594Z,178903180159400
"River: 7♥, 7♦, 10♠, 8♦ [4♦]",2026-09-10T09:16:38.574Z,178903179857400
"""FakeAMish @ lpiR56ny_b"" calls 25",2026-09-10T09:16:37.702Z,178903179770200
"""LingWae @ FQN9hzhzP_"" bets 25",2026-09-10T09:16:36.454Z,178903179645400
