entry,at,order
"Game Config Changes
* Game Type Cyling: off » off
* Simulated Fee: off » off
* Simulated Fee Percentage: off » null
* Simulated Fee Max Value: none » none
* 7-2 bounty: 30 » off",2026-09-03T10:03:04.487Z,178842978448700
"The player ""fuckyo @ gpP9uUffpu"" passed the room ownership to ""Luis @ 5NARaPRkSp"".",2026-09-03T10:03:04.463Z,178842978446300
"The player ""fuckyo @ gpP9uUffpu"" quits the game with a stack of 2200.",2026-09-03T09:57:42.162Z,178842946216200
"Undealt cards: K♥, 2♦, K♦ [4♦, 2♥]",2026-09-03T09:57:38.105Z,178842945810500
"""LingWae @ FQN9hzhzP_"" shows a 2♣.",2026-09-03T09:57:37.921Z,178842945792100
"-- ending hand #222 --",2026-09-03T09:57:35.518Z,178842945551802
"""LingWae @ FQN9hzhzP_"" collected 688 from pot",2026-09-03T09:57:35.518Z,178842945551801
"Uncalled bet of 138 returned to ""LingWae @ FQN9hzhzP_""",2026-09-03T09:57:35.518Z,178842945551800
"""fuckyo @ gpP9uUffpu"" folds",2026-09-03T09:57:34.676Z,178842945467600
"""LingWae @ FQN9hzhzP_"" raises to 452 and go all in",2026-09-03T09:57:33.020Z,178842945302000
"""fuckyo @ gpP9uUffpu"" bets 314",2026-09-03T09:57:16.446Z,178842943644600
"""LingWae @ FQN9hzhzP_"" checks",2026-09-03T09:57:12.842Z,178842943284200
"Flop:  [K♥, 2♦, K♦]",2026-09-03T09:57:08.309Z,178842942830900
"""LingWae @ FQN9hzhzP_"" calls 30",2026-09-03T09:57:07.456Z,178842942745600
"""fuckyo @ gpP9uUffpu"" raises to 30",2026-09-03T09:57:04.237Z,178842942423700
"""LingWae @ FQN9hzhzP_"" posts a big blind of 10",2026-09-03T09:57:02.982Z,178842942298205
"""fuckyo @ gpP9uUffpu"" posts a small blind of 5",2026-09-03T09:57:02.982Z,178842942298204
"Player stacks: #1 ""fuckyo @ gpP9uUffpu"" (2544) | #2 ""LingWae @ FQN9hzhzP_"" (482)",2026-09-03T09:57:02.982Z,178842942298201
"-- starting hand #222 (id: t24ohvqb9tib)  No Limit Texas Hold'em (dealer: ""fuckyo @ gpP9uUffpu"") --",2026-09-03T09:57:02.982Z,178842942298200
"-- ending hand #221 --",2026-09-03T09:56:56.952Z,178842941695202
"""LingWae @ FQN9hzhzP_"" collected 40 from pot with Two Pair, A's & 3's (combination: Q♦, 3♥, 3♠, A♣, A♦)",2026-09-03T09:56:56.952Z,178842941695201
"""LingWae @ FQN9hzhzP_"" shows a Q♦, 3♥.",2026-09-03T09:56:56.952Z,178842941695200
"""fuckyo @ gpP9uUffpu"" calls 10",2026-09-03T09:56:56.109Z,178842941610900
"""LingWae @ FQN9hzhzP_"" bets 10",2026-09-03T09:56:55.104Z,178842941510400
"""fuckyo @ gpP9uUffpu"" checks",2026-09-03T09:56:53.332Z,178842941333200
"River: A♣, A♦, 3♠, 7♣ [4♠]",2026-09-03T09:56:51.984Z,178842941198400
"""LingWae @ FQN9hzhzP_"" checks",2026-09-03T09:56:51.170Z,178842941117000
"""fuckyo @ gpP9uUffpu"" checks",2026-09-03T09:56:50.202Z,178842941020200
"Turn: A♣, A♦, 3♠ [7♣]",2026-09-03T09:56:49.750Z,178842940975000
"""LingWae @ FQN9hzhzP_"" checks",2026-09-03T09:56:48.878Z,178842940887800
"""fuckyo @ gpP9uUffpu"" checks",2026-09-03T09:56:47.979Z,178842940797900
"Flop:  [A♣, A♦, 3♠]",2026-09-03T09:56:45.777Z,178842940577700
"""fuckyo @ gpP9uUffpu"" checks",2026-09-03T09:56:44.970Z,178842940497000
"""LingWae @ FQN9hzhzP_"" calls 10",2026-09-03T09:56:44.067Z,178842940406700
"""fuckyo @ gpP9uUffpu"" posts a big blind of 10",2026-09-03T09:56:42.279Z,178842940227905
"""LingWae @ FQN9hzhzP_"" posts a small blind of 5",2026-09-03T09:56:42.279Z,178842940227904
