entry,at,order
"The player ""gurtyo @ gpP9uUffpu"" quits the game with a stack of 0.",2026-08-29T02:26:12.469Z,178797037246900
"-- ending hand #296 --",2026-08-29T02:26:06.465Z,178797036646501
"""Henry @ FQN9hzhzP_"" collected 2360 from pot with Two Pair, Q's & 10's (combination: A♠, 10♠, 10♣, Q♠, Q♥)",2026-08-29T02:26:06.465Z,178797036646500
"River: A♠, Q♥, 2♥, 10♣ [2♠]",2026-08-29T02:26:02.417Z,178797036241700
"""Henry @ FQN9hzhzP_"" shows a 10♠, Q♠.",2026-08-29T02:25:58.358Z,178797035835801
"""gurtyo @ gpP9uUffpu"" shows a K♥, 9♥.",2026-08-29T02:25:58.358Z,178797035835800
"Some players choose to not run it twice.",2026-08-29T02:25:57.508Z,178797035750800
"""gurtyo @ gpP9uUffpu"" chooses to  run it twice.",2026-08-29T02:25:48.336Z,178797034833600
"Remaining players decide whether to run it twice.",2026-08-29T02:25:47.478Z,178797034747801
"""Henry @ FQN9hzhzP_"" calls 872",2026-08-29T02:25:47.478Z,178797034747800
"""gurtyo @ gpP9uUffpu"" bets 872 and go all in",2026-08-29T02:25:46.549Z,178797034654900
"Turn: A♠, Q♥, 2♥ [10♣]",2026-08-29T02:25:40.699Z,178797034069900
"""Henry @ FQN9hzhzP_"" calls 154",2026-08-29T02:25:39.894Z,178797033989400
"""gurtyo @ gpP9uUffpu"" bets 154",2026-08-29T02:25:38.671Z,178797033867100
"Flop:  [A♠, Q♥, 2♥]",2026-08-29T02:25:35.810Z,178797033581000
"""Henry @ FQN9hzhzP_"" calls 154",2026-08-29T02:25:34.983Z,178797033498300
"""gurtyo @ gpP9uUffpu"" raises to 154",2026-08-29T02:25:33.701Z,178797033370100
"""Henry @ FQN9hzhzP_"" raises to 67",2026-08-29T02:25:31.069Z,178797033106900
"""gurtyo @ gpP9uUffpu"" posts a big blind of 10",2026-08-29T02:25:25.377Z,178797032537705
"""Henry @ FQN9hzhzP_"" posts a small blind of 5",2026-08-29T02:25:25.377Z,178797032537704
"Your hand is K♥, 9♥",2026-08-29T02:25:25.377Z,178797032537702
"Player stacks: #1 ""gurtyo @ gpP9uUffpu"" (1180) | #2 ""Henry @ FQN9hzhzP_"" (1571)",2026-08-29T02:25:25.377Z,178797032537701
"-- starting hand #296 (id: 6sbz4xel8h16)  No Limit Texas Hold'em (dealer: ""Henry @ FQN9hzhzP_"") --",2026-08-29T02:25:25.377Z,178797032537700
"""Henry @ FQN9hzhzP_"" shows a 3♦, 6♥.",2026-08-29T02:25:19.906Z,178797031990600
"""gurtyo @ gpP9uUffpu"" shows a J♥, 6♦.",2026-08-29T02:25:19.443Z,178797031944300
"Undealt cards:  [6♣, 9♠, 7♣, 7♠, 10♦]",2026-08-29T02:25:18.517Z,178797031851700
"-- ending hand #295 --",2026-08-29T02:25:18.073Z,178797031807301
"""gurtyo @ gpP9uUffpu"" collected 20 from pot",2026-08-29T02:25:18.073Z,178797031807300
"""Henry @ FQN9hzhzP_"" folds",2026-08-29T02:25:17.251Z,178797031725100
"""gurtyo @ gpP9uUffpu"" calls 10",2026-08-29T02:25:16.340Z,178797031634000
"""Henry @ FQN9hzhzP_"" posts a big blind of 10",2026-08-29T02:25:15.074Z,178797031507405
"""gurtyo @ gpP9uUffpu"" posts a small blind of 5",2026-08-29T02:25:15.074Z,178797031507404
"Your hand is J♥, 6♦",2026-08-29T02:25:15.074Z,178797031507402
"Player stacks: #1 ""gurtyo @ gpP9uUffpu"" (1170) | #2 ""Henry @ FQN9hzhzP_"" (1581)",2026-08-29T02:25:15.074Z,178797031507401
"-- starting hand #295 (id: 7xn1m6el53yy)  No Limit Texas Hold'em (dealer: ""gurtyo @ gpP9uUffpu"") --",2026-08-29T02:25:15.074Z,178797031507400
"""Henry @ FQN9hzhzP_"" shows a A♥, 3♠.",2026-08-29T02:25:10.452Z,178797031045200
"""gurtyo @ gpP9uUffpu"" shows a J♣, 4♥.",2026-08-29T02:25:09.266Z,178797030926600
"Undealt cards:  [3♦, K♦, 6♣, 2♠, 8♠]",2026-08-29T02:25:07.937Z,178797030793700
"-- ending hand #294 --",2026-08-29T02:25:07.669Z,178797030766902
"""Henry @ FQN9hzhzP_"" collected 20 from pot",2026-08-29T02:25:07.669Z,178797030766901
"Uncalled bet of 157 returned to ""Henry @ FQN9hzhzP_""",2026-08-29T02:25:07.669Z,178797030766900
"""gurtyo @ gpP9uUffpu"" folds",2026-08-29T02:25:06.777Z,178797030677700
"""Henry @ FQN9hzhzP_"" raises to 167",2026-08-29T02:25:05.864Z,178797030586400
"""gurtyo @ gpP9uUffpu"" posts a big blind of 10",2026-08-29T02:25:01.463Z,178797030146305
"""Henry @ FQN9hzhzP_"" posts a small blind of 5",2026-08-29T02:25:01.463Z,178797030146304
"Your hand is J♣, 4♥",2026-08-29T02:25:01.463Z,178797030146302
"Player stacks: #1 ""gurtyo @ gpP9uUffpu"" (1180) | #2 ""Henry @ FQN9hzhzP_"" (1571)",2026-08-29T02:25:01.463Z,178797030146301
"-- starting hand #294 (id: kjjnfggemzeb)  No Limit Texas Hold'em (dealer: ""Henry @ FQN9hzhzP_"") --",2026-08-29T02:25:01.463Z,178797030146300
"""Henry @ FQN9hzhzP_"" shows a 4♥.",2026-08-29T02:24:59.562Z,178797029956200
"""Henry @ FQN9hzhzP_"" shows a 8♣.",2026-08-29T02:24:57.905Z,178797029790500
"""gurtyo @ gpP9uUffpu"" shows a K♦.",2026-08-29T02:24:57.439Z,178797029743900
"-- ending hand #293 --",2026-08-29T02:24:57.007Z,178797029700701
"""gurtyo @ gpP9uUffpu"" collected 60 from pot",2026-08-29T02:24:57.007Z,178797029700700
"""Henry @ FQN9hzhzP_"" folds",2026-08-29T02:24:56.149Z,178797029614900
"River: 10♠, 9♥, 2♥, 3♦ [K♣]",2026-08-29T02:24:54.404Z,178797029440400
"""gurtyo @ gpP9uUffpu"" checks",2026-08-29T02:24:53.513Z,178797029351300
"""Henry @ FQN9hzhzP_"" checks",2026-08-29T02:24:52.535Z,178797029253500
"Turn: 10♠, 9♥, 2♥ [3♦]",2026-08-29T02:24:50.601Z,178797029060100
"""gurtyo @ gpP9uUffpu"" checks",2026-08-29T02:24:49.756Z,178797028975600
"""Henry @ FQN9hzhzP_"" checks",2026-08-29T02:24:48.825Z,178797028882500
"Flop:  [10♠, 9♥, 2♥]",2026-08-29T02:24:45.640Z,178797028564000
"""Henry @ FQN9hzhzP_"" calls 30",2026-08-29T02:24:44.804Z,178797028480400
"""gurtyo @ gpP9uUffpu"" raises to 30",2026-08-29T02:24:41.016Z,178797028101600
"""Henry @ FQN9hzhzP_"" posts a big blind of 10",2026-08-29T02:24:39.597Z,178797027959705
"""gurtyo @ gpP9uUffpu"" posts a small blind of 5",2026-08-29T02:24:39.597Z,178797027959704
"Player stacks: #1 ""gurtyo @ gpP9uUffpu"" (1150) | #2 ""Henry @ FQN9hzhzP_"" (1601)",2026-08-29T02:24:39.597Z,178797027959701
"-- starting hand #293 (id: ravfqec2e1oi)  No Limit Texas Hold'em (dealer: ""gurtyo @ gpP9uUffpu"") --",2026-08-29T02:24:39.597Z,178797027959700
"""Henry @ FQN9hzhzP_"" shows a 6♣, 7♦.",2026-08-29T02:24:35.504Z,178797027550400
"-- ending hand #292 --",2026-08-29T02:24:32.991Z,178797027299102
"""gurtyo @ gpP9uUffpu"" collected 770 from pot with Three of a Kind, J's (combination: 7♥, 8♥, J♦, J♣, J♥)",2026-08-29T02:24:32.991Z,178797027299101
"""gurtyo @ gpP9uUffpu"" shows a J♦, 8♥.",2026-08-29T02:24:32.991Z,178797027299100
"""Henry @ FQN9hzhzP_"" calls 231",2026-08-29T02:24:32.118Z,178797027211800
"""gurtyo @ gpP9uUffpu"" bets 231",2026-08-29T02:24:31.201Z,178797027120100
"River: 6♠, J♣, 5♠, 7♥ [J♥]",2026-08-29T02:24:28.589Z,178797026858900
"""Henry @ FQN9hzhzP_"" calls 124",2026-08-29T02:24:27.725Z,178797026772500
"""gurtyo @ gpP9uUffpu"" raises to 124",2026-08-29T02:24:26.724Z,178797026672400
"""Henry @ FQN9hzhzP_"" raises to 67",2026-08-29T02:24:24.184Z,178797026418400
"""gurtyo @ gpP9uUffpu"" bets 30",2026-08-29T02:24:21.044Z,178797026104400
"Turn: 6♠, J♣, 5♠ [7♥]",2026-08-29T02:24:18.054Z,178797025805400
"""Henry @ FQN9hzhzP_"" checks",2026-08-29T02:24:17.219Z,178797025721900
"""gurtyo @ gpP9uUffpu"" checks",2026-08-29T02:24:04.032Z,178797024403200
"Flop:  [6♠, J♣, 5♠]",2026-08-29T02:24:02.411Z,178797024241100
"""Henry @ FQN9hzhzP_"" calls 30",2026-08-29T02:24:01.523Z,178797024152300
"""gurtyo @ gpP9uUffpu"" raises to 30",2026-08-29T02:23:58.954Z,178797023895400
"""Henry @ FQN9hzhzP_"" calls 10",2026-08-29T02:23:55.188Z,178797023518800
"""gurtyo @ gpP9uUffpu"" posts a big blind of 10",2026-08-29T02:23:53.209Z,178797023320905
"""Henry @ FQN9hzhzP_"" posts a small blind of 5",2026-08-29T02:23:53.209Z,178797023320904
"Your hand is J♦, 8♥",2026-08-29T02:23:53.209Z,178797023320902
"Player stacks: #1 ""gurtyo @ gpP9uUffpu"" (765) | #2 ""Henry @ FQN9hzhzP_"" (1986)",2026-08-29T02:23:53.209Z,178797023320901
"-- starting hand #292 (id: 4q94dhu1adbw)  No Limit Texas Hold'em (dealer: ""Henry @ FQN9hzhzP_"") --",2026-08-29T02:23:53.209Z,178797023320900
"""gurtyo @ gpP9uUffpu"" shows a 6♣.",2026-08-29T02:23:51.720Z,178797023172000
