entry,at,order
"The player ""chris @ 5NARaPRkSp"" quits the game with a stack of 0.",2026-08-18T06:29:57.074Z,178703459707400
"-- ending hand #270 --",2026-08-18T06:29:49.055Z,178703458905502
"""fascinating. @ gpP9uUffpu"" collected 1300 from pot with Two Pair, 4's & 3's on the second run  (combination: 5♦, 3♥, 3♠, 4♠, 4♦)",2026-08-18T06:29:49.055Z,178703458905501
"""fascinating. @ gpP9uUffpu"" collected 1300 from pot with Straight, 7 High (combination: 3♥, 4♠, 5♠, 6♣, 7♣)",2026-08-18T06:29:49.055Z,178703458905500
"River (second run): 2♣, 2♦, 3♠, 5♦ [4♦]",2026-08-18T06:29:45.036Z,178703458503600
"Turn (second run): 2♣, 2♦, 3♠ [5♦]",2026-08-18T06:29:40.896Z,178703458089600
"Flop (second run):  [2♣, 2♦, 3♠]",2026-08-18T06:29:36.892Z,178703457689200
"River: 6♣, 5♣, Q♣, 7♣ [5♠]",2026-08-18T06:29:32.890Z,178703457289000
"Turn: 6♣, 5♣, Q♣ [7♣]",2026-08-18T06:29:28.856Z,178703456885600
"Flop:  [6♣, 5♣, Q♣]",2026-08-18T06:29:24.851Z,178703456485100
"""chris @ 5NARaPRkSp"" shows a Q♥, 8♥.",2026-08-18T06:29:20.817Z,178703456081700
"""fascinating. @ gpP9uUffpu"" shows a 3♥, 4♠.",2026-08-18T06:29:20.437Z,178703456043700
"All players in hand choose to run it twice.",2026-08-18T06:29:19.968Z,178703455996801
"""chris @ 5NARaPRkSp"" chooses to  run it twice.",2026-08-18T06:29:19.968Z,178703455996800
"""fascinating. @ gpP9uUffpu"" chooses to  run it twice.",2026-08-18T06:29:17.864Z,178703455786400
"Remaining players decide whether to run it twice.",2026-08-18T06:29:17.139Z,178703455713901
"""fascinating. @ gpP9uUffpu"" calls 1300",2026-08-18T06:29:17.139Z,178703455713900
"""chris @ 5NARaPRkSp"" raises to 1300 and go all in",2026-08-18T06:29:14.968Z,178703455496800
"""fascinating. @ gpP9uUffpu"" posts a big blind of 20",2026-08-18T06:29:12.209Z,178703455220905
"""chris @ 5NARaPRkSp"" posts a small blind of 10",2026-08-18T06:29:12.209Z,178703455220904
"Your hand is 3♥, 4♠",2026-08-18T06:29:12.209Z,178703455220902
"Player stacks: #1 ""fascinating. @ gpP9uUffpu"" (5400) | #2 ""chris @ 5NARaPRkSp"" (1300)",2026-08-18T06:29:12.209Z,178703455220901
"-- starting hand #270 (id: oqyisxbf9ojd)  No Limit Texas Hold'em (dealer: ""chris @ 5NARaPRkSp"") --",2026-08-18T06:29:12.209Z,178703455220900
"-- ending hand #269 --",2026-08-18T06:29:04.202Z,178703454420202
"""chris @ 5NARaPRkSp"" collected 1300 from pot with Pair, 3's on the second run  (combination: 9♣, K♠, A♦, 3♥, 3♦)",2026-08-18T06:29:04.202Z,178703454420201
"""fascinating. @ gpP9uUffpu"" collected 1300 from pot with Pair, 8's (combination: 10♣, J♦, K♥, 8♥, 8♠)",2026-08-18T06:29:04.202Z,178703454420200
"River (second run): A♦, 9♣, 2♦, K♠ [4♦]",2026-08-18T06:29:00.164Z,178703454016400
"Turn (second run): A♦, 9♣, 2♦ [K♠]",2026-08-18T06:28:56.148Z,178703453614800
"Flop (second run):  [A♦, 9♣, 2♦]",2026-08-18T06:28:52.141Z,178703453214100
"River: K♥, 8♠, 10♣, J♦ [6♥]",2026-08-18T06:28:48.074Z,178703452807400
"Turn: K♥, 8♠, 10♣ [J♦]",2026-08-18T06:28:44.071Z,178703452407100
"Flop:  [K♥, 8♠, 10♣]",2026-08-18T06:28:39.978Z,178703451997800
"""chris @ 5NARaPRkSp"" shows a 3♥, 3♦.",2026-08-18T06:28:35.954Z,178703451595401
"Uncalled bet of 4100 returned to ""fascinating. @ gpP9uUffpu""",2026-08-18T06:28:35.954Z,178703451595400
"""fascinating. @ gpP9uUffpu"" shows a 8♥, 3♣.",2026-08-18T06:28:35.593Z,178703451559300
"All players in hand choose to run it twice.",2026-08-18T06:28:35.131Z,178703451513101
"""fascinating. @ gpP9uUffpu"" chooses to  run it twice.",2026-08-18T06:28:35.131Z,178703451513100
"""chris @ 5NARaPRkSp"" chooses to  run it twice.",2026-08-18T06:28:34.032Z,178703451403200
"Remaining players decide whether to run it twice.",2026-08-18T06:28:30.965Z,178703451096501
"""chris @ 5NARaPRkSp"" calls 1300 and go all in",2026-08-18T06:28:30.965Z,178703451096500
"""fascinating. @ gpP9uUffpu"" raises to 5400 and go all in",2026-08-18T06:28:24.229Z,178703450422900
"""chris @ 5NARaPRkSp"" posts a big blind of 20",2026-08-18T06:28:22.931Z,178703450293105
"""fascinating. @ gpP9uUffpu"" posts a small blind of 10",2026-08-18T06:28:22.931Z,178703450293104
"Your hand is 8♥, 3♣",2026-08-18T06:28:22.931Z,178703450293102
"Player stacks: #1 ""fascinating. @ gpP9uUffpu"" (5400) | #2 ""chris @ 5NARaPRkSp"" (1300)",2026-08-18T06:28:22.931Z,178703450293101
"-- starting hand #269 (id: gifntdtrw6hv)  No Limit Texas Hold'em (dealer: ""fascinating. @ gpP9uUffpu"") --",2026-08-18T06:28:22.931Z,178703450293100
"-- ending hand #268 --",2026-08-18T06:28:14.925Z,178703449492502
"""fascinating. @ gpP9uUffpu"" collected 2700 from pot with Pair, 5's on the second run  (combination: 10♠, J♥, K♦, 5♠, 5♦)",2026-08-18T06:28:14.925Z,178703449492501
"""fascinating. @ gpP9uUffpu"" collected 2700 from pot with Three of a Kind, 5's (combination: J♠, K♠, 5♠, 5♦, 5♣)",2026-08-18T06:28:14.925Z,178703449492500
"River (second run): K♦, J♥, 10♠, 7♦ [3♥]",2026-08-18T06:28:10.845Z,178703449084500
"Turn (second run): K♦, J♥, 10♠ [7♦]",2026-08-18T06:28:06.796Z,178703448679600
"Flop (second run):  [K♦, J♥, 10♠]",2026-08-18T06:28:02.792Z,178703448279200
"River: 5♣, J♠, 6♥, K♠ [2♥]",2026-08-18T06:27:58.783Z,178703447878300
"Turn: 5♣, J♠, 6♥ [K♠]",2026-08-18T06:27:54.778Z,178703447477800
"Flop:  [5♣, J♠, 6♥]",2026-08-18T06:27:50.769Z,178703447076900
"""chris @ 5NARaPRkSp"" shows a 8♣, 2♠.",2026-08-18T06:27:46.763Z,178703446676301
"Uncalled bet of 1300 returned to ""chris @ 5NARaPRkSp""",2026-08-18T06:27:46.763Z,178703446676300
"""fascinating. @ gpP9uUffpu"" shows a 5♠, 5♦.",2026-08-18T06:27:46.424Z,178703446642400
"All players in hand choose to run it twice.",2026-08-18T06:27:45.945Z,178703446594501
"""chris @ 5NARaPRkSp"" chooses to  run it twice.",2026-08-18T06:27:45.945Z,178703446594500
"""fascinating. @ gpP9uUffpu"" chooses to  run it twice.",2026-08-18T06:27:44.781Z,178703446478100
"Remaining players decide whether to run it twice.",2026-08-18T06:27:44.287Z,178703446428701
"""fascinating. @ gpP9uUffpu"" calls 2700 and go all in",2026-08-18T06:27:44.287Z,178703446428700
"""chris @ 5NARaPRkSp"" raises to 4000 and go all in",2026-08-18T06:27:43.377Z,178703446337700
"""fascinating. @ gpP9uUffpu"" posts a big blind of 20",2026-08-18T06:27:40.755Z,178703446075505
"""chris @ 5NARaPRkSp"" posts a small blind of 10",2026-08-18T06:27:40.755Z,178703446075504
"Your hand is 5♠, 5♦",2026-08-18T06:27:40.755Z,178703446075502
"Player stacks: #1 ""fascinating. @ gpP9uUffpu"" (2700) | #2 ""chris @ 5NARaPRkSp"" (4000)",2026-08-18T06:27:40.755Z,178703446075501
"-- starting hand #268 (id: ctvywobn77qb)  No Limit Texas Hold'em (dealer: ""chris @ 5NARaPRkSp"") --",2026-08-18T06:27:40.755Z,178703446075500
"-- ending hand #267 --",2026-08-18T06:27:32.742Z,178703445274202
"""chris @ 5NARaPRkSp"" collected 2700 from pot with Pair, 5's on the second run  (combination: 9♦, Q♥, A♣, 5♠, 5♣)",2026-08-18T06:27:32.742Z,178703445274201
"""fascinating. @ gpP9uUffpu"" collected 2700 from pot with Straight, K High (combination: 9♠, 10♦, J♠, Q♦, K♠)",2026-08-18T06:27:32.742Z,178703445274200
"River (second run): Q♥, 5♣, 8♦, 9♦ [3♥]",2026-08-18T06:27:28.739Z,178703444873900
"Turn (second run): Q♥, 5♣, 8♦ [9♦]",2026-08-18T06:27:24.736Z,178703444473600
"Flop (second run):  [Q♥, 5♣, 8♦]",2026-08-18T06:27:20.692Z,178703444069200
"River: Q♦, K♠, 6♦, 10♦ [9♠]",2026-08-18T06:27:16.651Z,178703443665100
"Turn: Q♦, K♠, 6♦ [10♦]",2026-08-18T06:27:12.579Z,178703443257900
"Flop:  [Q♦, K♠, 6♦]",2026-08-18T06:27:08.519Z,178703442851900
"""chris @ 5NARaPRkSp"" shows a A♣, 5♠.",2026-08-18T06:27:04.514Z,178703442451401
"""fascinating. @ gpP9uUffpu"" shows a J♠, 4♠.",2026-08-18T06:27:04.514Z,178703442451400
"All players in hand choose to run it twice.",2026-08-18T06:27:03.683Z,178703442368301
"""chris @ 5NARaPRkSp"" chooses to  run it twice.",2026-08-18T06:27:03.683Z,178703442368300
"""fascinating. @ gpP9uUffpu"" chooses to  run it twice.",2026-08-18T06:27:02.392Z,178703442239200
"Remaining players decide whether to run it twice.",2026-08-18T06:27:01.858Z,178703442185801
"""chris @ 5NARaPRkSp"" calls 2700",2026-08-18T06:27:01.858Z,178703442185800
"""fascinating. @ gpP9uUffpu"" raises to 2700 and go all in",2026-08-18T06:27:00.797Z,178703442079700
"""chris @ 5NARaPRkSp"" posts a big blind of 20",2026-08-18T06:26:59.652Z,178703441965205
"""fascinating. @ gpP9uUffpu"" posts a small blind of 10",2026-08-18T06:26:59.652Z,178703441965204
"Your hand is J♠, 4♠",2026-08-18T06:26:59.652Z,178703441965202
"Player stacks: #1 ""fascinating. @ gpP9uUffpu"" (2700) | #2 ""chris @ 5NARaPRkSp"" (4000)",2026-08-18T06:26:59.652Z,178703441965201
"-- starting hand #267 (id: wl98meeflddz)  No Limit Texas Hold'em (dealer: ""fascinating. @ gpP9uUffpu"") --",2026-08-18T06:26:59.652Z,178703441965200
"-- ending hand #266 --",2026-08-18T06:26:51.643Z,178703441164302
"""chris @ 5NARaPRkSp"" collected 2700 from pot with Flush, K High on the second run  (combination: 6♥, 8♥, 9♥, J♥, K♥)",2026-08-18T06:26:51.643Z,178703441164301
"""fascinating. @ gpP9uUffpu"" collected 2700 from pot with Flush, K High (combination: 5♦, 6♦, 7♦, 10♦, K♦)",2026-08-18T06:26:51.643Z,178703441164300
"River (second run): J♥, 6♥, 10♠, 8♥ [K♥]",2026-08-18T06:26:47.583Z,178703440758300
"Turn (second run): J♥, 6♥, 10♠ [8♥]",2026-08-18T06:26:43.581Z,178703440358100
"Flop (second run):  [J♥, 6♥, 10♠]",2026-08-18T06:26:39.577Z,178703439957700
"River: 7♦, K♦, J♠, 5♦ [6♦]",2026-08-18T06:26:35.525Z,178703439552500
"Turn: 7♦, K♦, J♠ [5♦]",2026-08-18T06:26:31.441Z,178703439144100
"Flop:  [7♦, K♦, J♠]",2026-08-18T06:26:27.436Z,178703438743600
"""chris @ 5NARaPRkSp"" shows a 9♥, 3♣.",2026-08-18T06:26:23.399Z,178703438339901
"Uncalled bet of 1300 returned to ""chris @ 5NARaPRkSp""",2026-08-18T06:26:23.399Z,178703438339900
"""fascinating. @ gpP9uUffpu"" shows a 5♥, 10♦.",2026-08-18T06:26:23.069Z,178703438306900
"All players in hand choose to run it twice.",2026-08-18T06:26:22.584Z,178703438258401
"""chris @ 5NARaPRkSp"" chooses to  run it twice.",2026-08-18T06:26:22.584Z,178703438258400
"""fascinating. @ gpP9uUffpu"" chooses to  run it twice.",2026-08-18T06:26:21.647Z,178703438164700
"Remaining players decide whether to run it twice.",2026-08-18T06:26:21.041Z,178703438104101
"""fascinating. @ gpP9uUffpu"" calls 2700 and go all in",2026-08-18T06:26:21.041Z,178703438104100
"""chris @ 5NARaPRkSp"" raises to 4000 and go all in",2026-08-18T06:26:18.975Z,178703437897500
"""fascinating. @ gpP9uUffpu"" posts a big blind of 20",2026-08-18T06:26:16.348Z,178703437634805
"""chris @ 5NARaPRkSp"" posts a small blind of 10",2026-08-18T06:26:16.348Z,178703437634804
"Your hand is 5♥, 10♦",2026-08-18T06:26:16.348Z,178703437634802
"Player stacks: #1 ""fascinating. @ gpP9uUffpu"" (2700) | #2 ""chris @ 5NARaPRkSp"" (4000)",2026-08-18T06:26:16.348Z,178703437634801
"-- starting hand #266 (id: nx34zplwr6me)  No Limit Texas Hold'em (dealer: ""chris @ 5NARaPRkSp"") --",2026-08-18T06:26:16.348Z,178703437634800
"-- ending hand #265 --",2026-08-18T06:26:08.300Z,178703436830002
"""chris @ 5NARaPRkSp"" collected 2000 from pot with Pair, 2's on the second run  (combination: 8♥, 10♦, A♦, 2♠, 2♥)",2026-08-18T06:26:08.300Z,178703436830001
