entry,at,order
"The player ""gurt @ gpP9uUffpu"" passed the room ownership to ""Henry @ FQN9hzhzP_"".",2026-08-29T09:51:49.648Z,178799710964800
"The player ""gurt @ gpP9uUffpu"" quits the game with a stack of 0.",2026-08-29T09:45:49.523Z,178799674952300
"-- ending hand #374 --",2026-08-29T09:45:43.518Z,178799674351801
"""Henry @ FQN9hzhzP_"" collected 5922 from pot with Two Pair, J's & 9's (combination: Q♥, 9♠, 9♥, J♥, J♦)",2026-08-29T09:45:43.518Z,178799674351800
"River: J♦, 9♥, Q♥, 2♦ [5♠]",2026-08-29T09:45:39.496Z,178799673949600
"""Henry @ FQN9hzhzP_"" shows a J♥, 9♠.",2026-08-29T09:45:35.444Z,178799673544400
"""gurt @ gpP9uUffpu"" shows a Q♣, 7♦.",2026-08-29T09:45:34.939Z,178799673493900
"Some players choose to not run it twice.",2026-08-29T09:45:34.529Z,178799673452901
"""Henry @ FQN9hzhzP_"" chooses to not run it twice.",2026-08-29T09:45:34.529Z,178799673452900
"""gurt @ gpP9uUffpu"" chooses to  run it twice.",2026-08-29T09:45:33.957Z,178799673395700
"Remaining players decide whether to run it twice.",2026-08-29T09:45:33.164Z,178799673316401
"""Henry @ FQN9hzhzP_"" calls 2093",2026-08-29T09:45:33.164Z,178799673316400
"""gurt @ gpP9uUffpu"" raises to 2093 and go all in",2026-08-29T09:45:31.719Z,178799673171900
"""Henry @ FQN9hzhzP_"" bets 560",2026-08-29T09:45:30.239Z,178799673023900
"Turn: J♦, 9♥, Q♥ [2♦]",2026-08-29T09:45:26.636Z,178799672663600
"""gurt @ gpP9uUffpu"" calls 818",2026-08-29T09:45:25.725Z,178799672572500
"""Henry @ FQN9hzhzP_"" raises to 818",2026-08-29T09:45:24.722Z,178799672472200
"""gurt @ gpP9uUffpu"" raises to 384",2026-08-29T09:45:20.561Z,178799672056100
"""Henry @ FQN9hzhzP_"" bets 167",2026-08-29T09:45:13.478Z,178799671347800
"Flop:  [J♦, 9♥, Q♥]",2026-08-29T09:45:08.016Z,178799670801600
"""Henry @ FQN9hzhzP_"" checks",2026-08-29T09:45:07.192Z,178799670719200
"""gurt @ gpP9uUffpu"" calls 50",2026-08-29T09:45:04.633Z,178799670463300
"""Henry @ FQN9hzhzP_"" posts a big blind of 50",2026-08-29T09:45:03.811Z,178799670381105
"""gurt @ gpP9uUffpu"" posts a small blind of 25",2026-08-29T09:45:03.811Z,178799670381104
"Your hand is Q♣, 7♦",2026-08-29T09:45:03.811Z,178799670381103
"Player stacks: #1 ""Henry @ FQN9hzhzP_"" (7966) | #2 ""gurt @ gpP9uUffpu"" (2961)",2026-08-29T09:45:03.811Z,178799670381101
"-- starting hand #374 (id: tkmhlawwi3ig)  No Limit Texas Hold'em (dealer: ""gurt @ gpP9uUffpu"") --",2026-08-29T09:45:03.811Z,178799670381100
"""gurt @ gpP9uUffpu"" shows a 6♣, Q♥.",2026-08-29T09:44:59.797Z,178799669979700
"""Henry @ FQN9hzhzP_"" shows a 7♥, 2♠.",2026-08-29T09:44:57.667Z,178799669766700
"Undealt cards:  [4♥, 2♦, A♦, A♥, 10♣]",2026-08-29T09:44:56.797Z,178799669679700
"-- ending hand #373 --",2026-08-29T09:44:56.369Z,178799669636902
"""gurt @ gpP9uUffpu"" collected 50 from pot",2026-08-29T09:44:56.369Z,178799669636901
"Uncalled bet of 25 returned to ""gurt @ gpP9uUffpu""",2026-08-29T09:44:56.369Z,178799669636900
"""Henry @ FQN9hzhzP_"" folds",2026-08-29T09:44:55.468Z,178799669546800
"""gurt @ gpP9uUffpu"" posts a big blind of 50",2026-08-29T09:44:54.245Z,178799669424505
"""Henry @ FQN9hzhzP_"" posts a small blind of 25",2026-08-29T09:44:54.245Z,178799669424504
"Your hand is 6♣, Q♥",2026-08-29T09:44:54.245Z,178799669424503
