entry,at,order
"The player ""bartyo @ gpP9uUffpu"" quits the game with a stack of 0.",2026-09-04T08:33:13.255Z,178851079325500
"-- ending hand #357 --",2026-09-04T08:33:05.229Z,178851078522902
"""Henry @ FQN9hzhzP_"" collected 345 from pot with K High on the second run  (combination: 7♦, 8♠, 9♥, J♦, K♦)",2026-09-04T08:33:05.229Z,178851078522901
"""Henry @ FQN9hzhzP_"" collected 345 from pot with Pair, 6's (combination: 7♦, J♥, A♦, 6♣, 6♦)",2026-09-04T08:33:05.229Z,178851078522900
"River (second run): 2♣, J♦, 8♠, 9♥ [K♦]",2026-09-04T08:33:01.217Z,178851078121700
"Turn (second run): 2♣, J♦, 8♠ [9♥]",2026-09-04T08:32:57.175Z,178851077717500
"Flop (second run):  [2♣, J♦, 8♠]",2026-09-04T08:32:53.148Z,178851077314800
"River: A♦, 5♥, 6♣, J♥ [6♦]",2026-09-04T08:32:49.144Z,178851076914400
"Turn: A♦, 5♥, 6♣ [J♥]",2026-09-04T08:32:45.080Z,178851076508000
"Flop:  [A♦, 5♥, 6♣]",2026-09-04T08:32:40.967Z,178851076096700
"""Henry @ FQN9hzhzP_"" shows a 7♦, 3♦.",2026-09-04T08:32:36.942Z,178851075694200
"""bartyo @ gpP9uUffpu"" shows a 3♣, 4♥.",2026-09-04T08:32:36.575Z,178851075657500
"All players in hand choose to run it twice.",2026-09-04T08:32:36.097Z,178851075609701
"""Henry @ FQN9hzhzP_"" chooses to  run it twice.",2026-09-04T08:32:36.097Z,178851075609700
"""bartyo @ gpP9uUffpu"" chooses to  run it twice.",2026-09-04T08:32:35.912Z,178851075591200
"Remaining players decide whether to run it twice.",2026-09-04T08:32:35.167Z,178851075516701
"""Henry @ FQN9hzhzP_"" calls 345",2026-09-04T08:32:35.167Z,178851075516700
"""bartyo @ gpP9uUffpu"" raises to 345 and go all in",2026-09-04T08:32:23.184Z,178851074318400
"""Henry @ FQN9hzhzP_"" posts a big blind of 10",2026-09-04T08:32:22.118Z,178851074211805
"""bartyo @ gpP9uUffpu"" posts a small blind of 5",2026-09-04T08:32:22.118Z,178851074211804
"Your hand is 3♣, 4♥",2026-09-04T08:32:22.118Z,178851074211802
"Player stacks: #1 ""bartyo @ gpP9uUffpu"" (345) | #2 ""Henry @ FQN9hzhzP_"" (4560)",2026-09-04T08:32:22.118Z,178851074211801
"-- starting hand #357 (id: kfbxjglbp0xb)  No Limit Texas Hold'em (dealer: ""bartyo @ gpP9uUffpu"") --",2026-09-04T08:32:22.118Z,178851074211800
"-- ending hand #356 --",2026-09-04T08:32:14.104Z,178851073410402
"""bartyo @ gpP9uUffpu"" collected 345 from pot with Straight, 5 High on the second run  (combination: A♥, 2♦, 3♦, 4♣, 5♣)",2026-09-04T08:32:14.104Z,178851073410401
"""Henry @ FQN9hzhzP_"" collected 345 from pot with Straight, A High (combination: 10♦, J♦, Q♠, K♠, A♦)",2026-09-04T08:32:14.104Z,178851073410400
"River (second run): 5♣, Q♣, 2♦, 4♣ [A♥]",2026-09-04T08:32:10.085Z,178851073008500
"Turn (second run): 5♣, Q♣, 2♦ [4♣]",2026-09-04T08:32:06.057Z,178851072605700
"Flop (second run):  [5♣, Q♣, 2♦]",2026-09-04T08:32:01.916Z,178851072191600
"River: 10♦, A♦, K♠, 9♠ [J♦]",2026-09-04T08:31:57.865Z,178851071786500
"Turn: 10♦, A♦, K♠ [9♠]",2026-09-04T08:31:53.861Z,178851071386100
"Flop:  [10♦, A♦, K♠]",2026-09-04T08:31:49.837Z,178851070983700
"""Henry @ FQN9hzhzP_"" shows a Q♠, 2♥.",2026-09-04T08:31:45.797Z,178851070579701
"Uncalled bet of 4215 returned to ""Henry @ FQN9hzhzP_""",2026-09-04T08:31:45.797Z,178851070579700
"""bartyo @ gpP9uUffpu"" shows a K♥, 3♦.",2026-09-04T08:31:45.470Z,178851070547000
"All players in hand choose to run it twice.",2026-09-04T08:31:44.967Z,178851070496701
"""Henry @ FQN9hzhzP_"" chooses to  run it twice.",2026-09-04T08:31:44.967Z,178851070496700
"""bartyo @ gpP9uUffpu"" chooses to  run it twice.",2026-09-04T08:31:44.687Z,178851070468700
"Remaining players decide whether to run it twice.",2026-09-04T08:31:44.102Z,178851070410201
"""bartyo @ gpP9uUffpu"" calls 345 and go all in",2026-09-04T08:31:44.102Z,178851070410200
"""Henry @ FQN9hzhzP_"" raises to 4560 and go all in",2026-09-04T08:31:43.179Z,178851070317900
"""bartyo @ gpP9uUffpu"" posts a big blind of 10",2026-09-04T08:31:27.163Z,178851068716305
"""Henry @ FQN9hzhzP_"" posts a small blind of 5",2026-09-04T08:31:27.163Z,178851068716304
"Your hand is K♥, 3♦",2026-09-04T08:31:27.163Z,178851068716302
